гиперболический:  гиперболическая
табличный:  табличные табличном
решиться:  решиться
икс:  икс иксами икса
сумма:  суммой суммы сумму сумма сумм
уравнение:  уравнению уравнения уравнение уравнением уравнений
переход:  переход
путёвка:  путёвку
отражать:  отражать
получить:  полученную получены получил полученного получим полученное получить полученный получи
существо:  существу
первый:  первое первая первом первого
пара:  пары
малый:  малые наименьших наименьшей наименьшим
связь:  связь
ответить:  ответим
точка:  точку точки точкам точек точке
применение:  применение
бубен:  бубном
плохо:  плохо
нормальный:  нормальное
интегральнаятеорема:  интегральнаятеоремы
некоторый:  некоторой некоторая некоторых
корнимногочлен:  корнимногочлена
логарифмический:  логарифмическая логарифмической
условие:  условие
гипербола:  гиперболы гипербола гиперболе гиперболу
основной:  основные
функция:  функцией функции функция функций функцию функциями
бернулли:  бернулли
единица:  единицу единиц
полярный:  полярные полярных полярной
рассмотреть:  рассмотрим
ряд:  ряды ряда ряд рядов
отклонение:  отклонений отклонения отклонение
уровень:  уровня уровне
доверительный:  доверительные
смысл:  смысле смысл
буква:  буквой букву
экселя:  экселя
среднееквадратический:  среднееквадратическое
оценка:  оценку оценка оценки
здравый:  здравом
говориться:  говорится
иной:  ином иные иными иной
комбинационный:  комбинационная
декартов:  декартовой
показатель:  показатель показателя показателей показатели
смешанноепроизведение:  смешанноепроизведение
дисперсия:  дисперсия дисперсии дисперсию
стопроцентно:  стопроцентно
школьный:  школьный школьной
мы:  нам
образ:  образом
выбирать:  выбираем
непрерывнаяслучайный:  непрерывнаяслучайная
другой:  других другому другие
прямо:  прямо
длина:  длина длин
посмотреть:  посмотреть
мочь:  могут можем
знакопостоянство:  знакопостоянства
площадь:  площади площадь
градиент:  градиент
линия:  линия линией линии линию линиями
вспомнить:  вспомним
комбинаторика:  комбинаторике
случайнаявеличина:  случайнаявеличина
бесконечно:  бесконечно
прежний:  прежними
деятельность:  деятельности
форма:  формы
задача:  задачу задачи задач задача
отметить:  отметить
возвращаться:  возвращаемся возвращаюсь
реальный:  реальными
статья:  статьи статье
окончательный:  окончательный
значок:  значком значок
обратный:  обратную обратная обратной
особенность:  особенности
разыскивать:  разыскиваемая разыскиваемых
год:  годы
модуль:  модулей модулем
готовый:  готовых
нужный:  нужных нужной нужную
просто:  просто
аргумент:  аргументами аргумента
активировать:  активируем
приём:  приём
ещё:  ещё
искажать:  искажая
приложение:  приложения приложением
соответствовать:  соответствующую
гипотеза:  гипотезой гипотез гипотеза гипотезы
нахождение:  нахождения нахождение нахождении
частый:  чаще
подобный:  подобных
данный:  данного данную данном
непрерывный:  непрерывных непрерывная
зависимость:  зависимостей зависимости зависимость зависимостью
подбирать:  подбираемая
производныефункция:  производныефункции
средний:  средняя
фраза:  фразой
область:  области область областях
подобрать:  подобрать
ссылка:  ссылке ссылку
предположим:  предположим
число:  числами чисел числа
математик:  математика
переменный:  переменных переменной
несовместный:  несовместные
расчёт:  расчёт
независимыеслучайный:  независимыеслучайные
добавить:  добавить
научиться:  научились научатся научиться
безошибочно:  безошибочно
очевидный:  очевидный очевидно
оформить:  оформлю оформить
модель:  модель модели
непрерывность:  непрерывность
тэ:  тэ
сопутствовать:  сопутствующий
программа:  программы
функциис:  функциис
тенденция:  тенденцию
количественный:  количественное
полный:  полной полных полное
зеркало:  зеркало
читатель:  читатели
начинать:  начинает начинаем
значит:  значит
пирсон:  пирсона
коммерческий:  коммерческого
выявляться:  выявляется
вопрос:  вопрос вопросу вопросы
традиция:  традициях
межгрупповой:  межгрупповая
ортогональный:  ортогональное
заменить:  заменить
высокий:  высокой высших высшей высшая
располагаться:  располагаются располагаться
ошибка:  ошибки ошибку ошибок
нсв:  нсв
построить:  построил построить построенная
счётчик:  счётчик
проанализировать:  проанализировать проанализируйте
быстро:  быстро
критично:  критично
упасть:  упал
разваливать:  разваливаем
отрезка:  отрезке
трудно:  трудно
величина:  величина величин величины
важный:  важный важному
оставаться:  остаются
внимательно:  внимательно
заведомо:  заведомо
вспомогательный:  вспомогательная
наука:  науку науки
достаточный:  достаточное
практический:  практическое практической
свойство:  свойствами свойства
воля:  волею
закономерность:  закономерность
детерминация:  детерминации
обязательно:  обязательно
следующий:  следующие следующую
социологический:  социологических
начать:  начать
выполнить:  выполнить
дифференциальныеуравнение:  дифференциальныеуравнения
прямой:  прямая прямой прямую
получать:  получать получаем
постоянный:  постоянных
стокс:  стокса
схема:  схема
свести:  свести сведём
самостоятельно:  самостоятельно
частично:  частично
дробовик:  дробовик
математика:  математике математики
векторный:  векторное векторного
сам:  самом сами
месяц:  месяц месяцы
вероятностия:  вероятностии
скалярный:  скалярное
совершенно:  совершенно
наш:  нашем нашим наш нашей
значимость:  значимости
подбор:  подбор
дать:  дана данные данной
тренд:  тренда тренду тренд тренде
такой:  такую таким такие такое такого такая таких
процент:  процентов
аппроксимировать:  аппроксимирующую аппроксимирующей аппроксимирующая
анализ:  анализа анализ
построение:  построения построение
её:  её
частный:  частное частные
парный:  парной
признаться:  признаюсь
точный:  точную точным
найти:  найдём найдёте найдем найденное найти найденная
сборник:  сборники
экспоненциальный:  экспоненциальная экспоненциальной
параметрический:  параметрическом параметрической
версия:  версия
различать:  различать
делать:  делаем
часто:  часто
розыск:  розыска
получаться:  получается
находить:  находим находит
кадр:  кадр кадром
решение:  решение решением решения решений
форум:  форум форуме
книга:  книги книга
провести:  провести
аппроксимация:  аппроксимация
вынести:  вынести
плaтy:  плaтy
содержательный:  содержательный
вектор:  векторы векторов
вращение:  вращения
эмпирический:  эмпирическим эмпирические эмпирическими
именно:  именно
копирование:  копирование
использовать:  используют используем используя использовать используйте
товарооборот:  товарообороте товарооборот товарооборота
разрыв:  разрыва
выражение:  выражения выражение
адекватно:  адекватно
название:  название названием
необходимость:  необходимости
грубо:  грубо
отблагодарить:  отблагодарить
являться:  являются является
претендент:  претендент
байес:  байеса
простой:  проще простейшую проста
таблица:  таблицу таблицы
рука:  рукой
точность:  точности точность
оценить:  оценить
класс:  класса класс
теория:  теория теории
стандарт:  стандарт
называть:  называют
умножить:  умножить
двумерный:  двумерная
прогнозировать:  прогнозировать
задать:  заданной задайте
тело:  тела
циркуляция:  циркуляция
плоскость:  плоскости плоскость
диаграмма:  диаграммы диаграмме диаграмму
общий:  общим общая общем общую
поздний:  позже
определителяй:  определителяи
европейский:  европейскому
неизвестный:  неизвестными
согласно:  согласно
закон:  законы
благодарный:  благодарен
самый:  самым самое
качество:  качестве
рассматривать:  рассматриваемых рассматриваемая
действие:  действий действия
насколько:  насколько
проделать:  проделать
вероятность:  вероятностей вероятность вероятности
сравнение:  сравнению
заключение:  заключение
уравненийв:  уравненийв
плюшка:  плюшки
иметь:  имеют имеет иметь
грин:  грина
пропустить:  пропустить
суть:  сути
эйлер:  эйлера
минимально:  минимально
каждый:  каждого каждое каждому
придерживаться:  придерживаться
дискретный:  дискретный
знакочередоваться:  знакочередующиеся
информация:  информацией информация информацию
минимум:  минимума минимум
принцип:  принцип
оптимальный:  оптимальными оптимальной оптимальных
момент:  моменту
годовой:  годовой
предложить:  предложено предложенная
голова:  голову
практически:  практически
произвольный:  произвольных
сложный:  сложной сложнее сложные сложных сложен
фурье:  фурье
отвлекаться:  отвлекаемся
поле:  поля поле
постановка:  постановка
магазин:  магазины магазина магазин
исследование:  исследование исследованиях исследования
весь:  всем
проблема:  проблем проблема
вариация:  вариации
тот:  та те той
основа:  основы
мало:  мало
интервал:  интервалы
суммирование:  суммирования суммирование
кош:  коши
выше:  выше
соответствующий:  соответствующих
чайник:  чайников
дополнительный:  дополнительными дополнительным дополнительной дополнительных
вычисленияс:  вычисленияс
появляться:  появляется
матричный:  матричные матричных матричный
вкладка:  вкладке
заметить:  заметили заметьте
качественный:  качественного
однородный:  однородные однородным
вычислить:  вычислить
очень:  очень
матрица:  матрицу матрицы матрицами
испытанияй:  испытанияи
интегралыть:  интегралыв
сопоставлять:  сопоставляя
перегруппировка:  перегруппировка
помощь:  помощью помощь
вариационный:  вариационный
блог:  блог
вывод:  выводу вывод
пространство:  пространстве
удобный:  удобный удобнее
курс:  курс
экспериментальный:  экспериментальными экспериментальных экспериментальные
координата:  координаты координат координатах
напоследок:  напоследок
сообщить:  сообщите
сделать:  сделать
аналитический:  аналитическая аналитического аналитическое аналитической
понижение:  понижение понижением
мой:  моим
характерный:  характерный
знать:  знаю знает знаем
калькулятор:  калькуляторы калькулятором калькулятор
добраться:  добрался
центр:  центр
равный:  равные
любой:  любой любую
экспонент:  экспоненты
примитивный:  примитивный
выручать:  выручать
изобразить:  изобразить
быстрый:  быстрее
функциональный:  функциональными функциональные
биология:  биология
проверка:  проверку проверка
осуществляться:  осуществляется
линейнойкорреляционный:  линейнойкорреляционной
платный:  платный
время:  время времени
игрековый:  игрековые
петлять:  петлять
особо:  особо
запрограммировать:  запрограммируете
почему:  почему
распределениякритерия:  распределениякритерий
прогноз:  прогнозом прогноз
решить:  решена решить
результат:  результата результате результаты
рабочий:  рабочую рабочая
несобственный:  несобственные
искомый:  искомая
коллега:  коллег
зрение:  зрения
полностью:  полностью
касательная:  касательная
задачис:  задачис
некорректный:  некорректен
правило:  правила правилу правило
замена:  заменой замены
функциия:  функциии
степенной:  степенного степенные
любимый:  любимого
функцийдвуха:  функцийдвух
выборка:  выборке выборку
осуществление:  осуществления
опытный:  опытные
использование:  использовании
уменьшаться:  уменьшается
разрешаться:  разрешается
полугодие:  полугодии полугодие
функцийнесколький:  функцийнескольких
хороший:  наилучшей наилучшее наилучшим
элитный:  элитный
квадрат:  квадрат квадратов
множественнойлинейный:  множественнойлинейной
прилежный:  прилежные
тема:  темы
распределение:  распределение распределения
дифференцировать:  дифференцировать
обещать:  обещанные
зависимый:  зависимого зависимые
возможный:  возможные
задачипо:  задачипо
доступ:  доступ
два:  двумя двух
востребовать:  востребованную
термин:  термин
приблизить:  приближенные приблизить
видно:  видно
вариант:  вариант
хотеться:  хотелось хочется
примечание:  примечание
выкладка:  выкладки выкладками
проверять:  проверяя
произведение:  произведение
кто:  кому
случайный:  случайных случаен случайные
пропускать:  пропускать
дуга:  дуги
отрезкать:  отрезкав
взаимоуничтожаться:  взаимоуничтожаться
дивергенция:  дивергенция
стационарный:  стационарную
магазинный:  магазинные
подать:  подать
сайт:  сайт сайты сайта
графика:  графики графика
спешить:  спешите
пользоваться:  пользуемся
ситуация:  ситуации ситуация
идти:  идёт
эпсилон:  эпсилон
расположить:  расположены
возрастание:  возрастание
подставить:  подставим
найтись:  нашлось
свершиться:  свершилось
иррациональный:  иррациональных
предметный:  предметной
определение:  определению определения
квадратичнуюформ:  квадратичнуюформу
сокращать:  сокращаем
карта:  карта
реферат:  реферата
вычисление:  вычисления вычисление вычислениях
они:  ними
выгодный:  выгодные
понимать:  понимаю
логика:  логики
материал:  материалов материалы материалам
спирмена:  спирмена
сопрячь:  сопряжена
комментарий:  комментариях
направить:  направлены
заключительный:  заключительный заключительном
завершить:  завершить
близко:  близко
лишь:  лишь
вручную:  вручную
св:  св
второй:  второго
достаточно:  достаточно
подарочный:  подарочны
показательный:  показательное
преобразование:  преобразования преобразований
создать:  создать
свёрнутый:  свёрнутом
диффура:  диффурами
почленно:  почленно
этот:  эта
обозначить:  обозначу обозначим
сообщать:  сообщает
статистика:  статистика статистики
бэ:  бэ
биномиальный:  биномиальное
напечатать:  напечатал
линиюв:  линиюв
отношение:  отношении
второе:  второе
химия:  химия
дуприближённо:  дуприближённо
нелинейный:  нелинейном нелинейная
асимптота:  асимптоты
событие:  события
приближение:  приближения приближение
микрокалькулятор:  микрокалькуляторе
повторный:  повторные
ликвидироваться:  ликвидируются
состоять:  состоит
июль:  июль
фнп:  фнп
выделять:  выделяем
простейшее:  простейшие
секретный:  секретным
конец:  конце
эксель:  эксель
часть:  частям часть части
семейство:  семействе
двойной:  двойные двойной
оставить:  оставим
несобство:  несобств
преобразованиеквадратичный:  преобразованиеквадратичной
напрашиваться:  напрашивается
переходить:  переходить
геометрический:  геометрическая геометрическое
абсолютный:  абсолютная
включать:  включать
натуральный:  натуральных натуральными натуральные
сложенияй:  сложенияи
правый:  правый правые
регрессия:  регрессии регрессия
оказываться:  оказываются
рассказать:  расскажу
исчисление:  исчисления
двойка:  двойку
иксовыя:  иксовые
зачастую:  зачастую
гораздо:  гораздо
локальный:  локальная
сказать:  сказать
ожидание:  ожидание
лаплас:  лапласа
перегиб:  перегиба
сходимость:  сходимости сходимость
достигать:  достигает
ду:  ду
далее:  далее
мысль:  мысль
неопределённый:  неопределенный неопределенном
дробь:  дробей
собственный:  собственные собственной
признак:  признак признаки
временной:  временные
гастроном:  гастрономами
поэтому:  поэтому
практика:  практике
разумеется:  разумеется
исследовать:  исследуем исследовать
никакой:  никаких
передумать:  передумал
асимметрия:  асимметрия
усилие:  усилия
главный:  главную
сводиться:  сводящиеся
собственно:  собственно
красивый:  красивой
маленький:  меньше малы
показывать:  показывает показывать
составить:  составим составит
например:  например
решенияопределённый:  решенияопределенных
рассчитать:  рассчитаете
хотя:  хотя
минимальный:  минимальную
опция:  опцию
коэффициентковариация:  коэффициентковариации
конкретный:  конкретными
цена:  цена
сервис:  сервисом
лопиталя:  лопиталя
называться:  называется
спасать:  спасает
крайне:  крайне
обычно:  обычно
поляформула:  поляформула
наверное:  наверное
фехнера:  фехнера
эффективный:  эффективные эффективнее эффективный
пожелать:  пожелаю
условный:  условные
эллипс:  эллипс
основываться:  основываться
сократить:  сократить
разность:  разности
дробный:  дробными
хотеть:  хотите
раздать:  раздать
даламбер:  даламбера
теорема:  теоремы
факт:  факт
повторнойя:  повторнойи
комплексный:  комплексные комплексного комплексный комплексными
звёздочка:  звёздочкой
ранг:  ранг
мгновенно:  мгновенно
кривая:  кривой
тяжестиплоска:  тяжестиплоской
относительно:  относительно
американский:  американскому
психология:  психология
давать:  давать дают
внимание:  внимание
лейбниц:  лейбница
привести:  приведу привести
неравенство:  неравенства
поток:  поток
аппетитный:  аппетитные
медиана:  медиана
тьма:  тьма
записать:  записать
символический:  символическую
направлениюй:  направлениюи
приближать:  приближает приближать приближая
единственный:  единственное
гостевой:  гостевая
переписать:  перепишем
кроме:  кроме
понятно:  понятно
иметься:  имеются
внутригрупповаяй:  внутригрупповаяи
зависеть:  зависит
алгебра:  алгебры
существовать:  существует
намного:  намного
прямоугольник:  прямоугольников
эксцессэмпирический:  эксцессэмпирического
угловой:  угловому
выбрать:  выбрать
криволинейный:  криволинейные
различный:  различных различными
нумеровать:  нумеруем нумеруют
библиотека:  библиотека
пропагандировать:  пропагандируемому
трудность:  трудностей
настолько:  настолько
наименьшеезначение:  наименьшеезначения
доступный:  доступна
сила:  силы
вычислимый:  вычислим
руб:  руб
корень:  корней
системылинейный:  системылинейных
нужно:  нужно
замкнутый:  замкнутому
набор:  набор
источник:  источников
линейность:  линейности
проходить:  проходит
отличие:  отличие
сильно:  сильно
площадьс:  площадьс
большинство:  большинстве
убыванией:  убываниеи
повышенный:  повышенной
статистический:  статистическая статистические
также:  также
интегрирование:  интегрирование
легко:  легко
рациональный:  рациональные
экстремум:  экстремума экстремумы
прийти:  прийти
исследуться:  исследуются
привычный:  привычной
список:  списке
интервальный:  интервальный
промежуток:  промежутки
определить:  определите
мера:  мере
среднее:  среднем
вообще:  вообще
оценкия:  оценкии
неявный:  неявной
несобственныхинтеграл:  несобственныхинтегралов
вероятностибиномиальный:  вероятностибиномиального
экономический:  экономических
большой:  побольше большое велика
гречка:  гречку
род:  рода
гаусс:  гаусса
тип:  тип
точно:  точно
экстремальный:  экстремальные
розничный:  розничном
нормаль:  нормали
определитель:  определитель
желать:  желающие
разобрать:  разобранную разберём разберу
выпуклость:  выпуклость
элемент:  элементы
отсюда:  отсюда
теоретический:  теоретической теоретическими
сложность:  сложности
значенияй:  значенияи
многочлен:  многочлен
некий:  некоего
кстати:  кстати
труд:  труда
классическоеопределение:  классическоеопределение
инормаль:  инормаль
особый:  особого
пирамида:  пирамида
социология:  социология
автор:  автор автора
шаблонный:  шаблонна
экономика:  экономика экономикой
оказаться:  окажется
цель:  целях
распоряжение:  распоряжении
дифференциальный:  дифференциальные
уравненияс:  уравненияс
онлайн:  онлайн
геометрия:  геометрии геометрия
работа:  работа
широкий:  широкое
новый:  новому
произвольныйтройный:  произвольныйтройной
нуждаться:  нуждается
известный:  известным
дизайн:  дизайна
это:  это
поляй:  поляи
опечатка:  опечатку
речь:  речь
методомоперационный:  методомоперационного
бесповторный:  бесповторной
правильно:  правильно
л:  л
степень:  степени
судьба:  судьбы
касательный:  касательных
поставить:  поставленную
краткий:  краткая
типовыхзадача:  типовыхзадач
воспользоваться:  воспользоваться воспользуемся
ранговойкорреляция:  ранговойкорреляции
вовремя:  вовремя
курсовик:  курсовика
отыскать:  отыскать
научный:  научной
расположение:  расположение
сколько:  сколько
продать:  продано
точечный:  точечную
поверхность:  поверхности
видеоролик:  видеоролик
линейныйкоэффициент:  линейныйкоэффициент
несобственныйинтеграл:  несобственныйинтеграл
доступно:  доступно
удобство:  удобства
учиться:  учимся
задавать:  задаваемые
прологарифмировать:  прологарифмируем
напоминать:  напоминает
ипример:  ипримеры
недоставать:  недостающий
множество:  множества
требоваться:  требуется
поверхностный:  поверхностные
млн:  млн
фигура:  фигуры
изучать:  изучаем
следовать:  следовать следует
пуассон:  пуассона
компактный:  компактной
физика:  физика
однако:  однако
проведение:  проведения
математическоеожидание:  математическоеожидание
школа:  школа
близкий:  ближе
неоднородный:  неоднородные
средство:  средствами
логарифм:  логарифма
содержание:  содержания
думать:  думаю
кратное:  кратные
системудифференциальный:  системудифференциальных
показать:  покажу
алгоритм:  алгоритм
видеоматериал:  видеоматериалы
последовательность:  последовательностей
объём:  объем
проверить:  проверить
поскольку:  поскольку
гипергеометрическоераспределение:  гипергеометрическоераспределение
оба:  обоих
обратить:  обратите
поступить:  поступить
экселевским:  экселевским
равномерный:  равномерная равномерное
треугольный:  треугольная
похожий:  похожей
пожалуйста:  пожалуйста
парабола:  параболой парабола
отрезок:  отрезков
полагать:  полагать
прикладной:  прикладном
обычный:  обычный
сразу:  сразу
функциюкомплексный:  функциюкомплексной
академичный:  академичный
везение:  везение
мода:  мода
свойстваэлементарный:  свойстваэлементарных
принимать:  принимает
порядок:  порядки порядка порядков
количество:  количестве
принять:  принять
страна:  страну
формально:  формально
определённый:  определенный определенного
эконометрика:  эконометрика
наличие:  наличие
горнера:  горнера
отмечаться:  отмечалось
удивительный:  удивительную
функцийв:  функцийв
ознакомиться:  ознакомиться
довольно:  довольно
позитивный:  позитивный
техника:  техника
вычесть:  вычесть
должный:  должна
три:  трёх
дискретнойслучайный:  дискретнойслучайной
короткий:  короткий
крамер:  крамера
немало:  немало
принципиальный:  принципиальный
левый:  левую
повторимый:  повторим
безликий:  безликая
забыть:  забыть
запретить:  запрещено
функциидвуха:  функциидвух
емелин:  емелин
малиновый:  малиновых
вычисленияопределенный:  вычисленияопределенных
задачин:  задачина
замечательный:  замечательные
системый:  системыи
удовлетворяетлить:  удовлетворяетли
сегодня:  сегодня
приходиться:  приходится
всякий:  всякий
тригонометрический:  тригонометрических
возведение:  возведением
знакомый:  знакомо
мыший:  мышью
заданав:  заданав
всё:  всё
что:  чём
тройной:  тройные
деление:  деления
контуруформула:  контуруформула
график:  график
прорисовываться:  прорисовываться
догадываться:  догадываетесь
независимый:  независимые
подход:  подход
создавать:  создаём
дело:  дело
корреляция:  корреляции
допустимый:  допустимый
заочник:  заочников
разный:  разные
параметр:  параметры
максимально:  максимально
говорить:  говоря
повторять:  повторяем
опустить:  опустить
