частный:  частным частное частные частный
ключевой:  ключевые
изложить:  изложенные
методика:  методике
короче:  короче
количество:  количеству количества количество количеством количестве
высказать:  высказать высказано
детерминация:  детерминации
сторона:  стороны стороной
подсчитать:  подсчитать
обязательно:  обязательно
тот:  тех та той
разбирать:  разбирали
начать:  начать
дифференциальныеуравнение:  дифференциальныеуравнения
прямой:  прямая прямой прямую
получать:  получать получаем
постоянный:  постоянных постоянным
стокс:  стокса
схема:  схема схемы
постановка:  постановку
степень:  степень степеней
годиться:  годятся годится
дробовик:  дробовик
часть:  частью частям часть части
математика:  математике математики
векторный:  векторное векторного
вероятностия:  вероятностии
объяснить:  объяснённую объяснена объяснённая
скалярный:  скалярное
совершенно:  совершенно
попасть:  попало
наш:  нашем наш нашей
нижний:  нижняя
дать:  дана данные даны
такой:  такую таким такие такое такого таких
признак:  признака признак признаков признаки
процент:  процентов процент процентах
аппроксимировать:  аппроксимирующую
анализ:  анализа анализ
исключить:  исключить
её:  её
статистический:  статистической статистическую статистическая статистический статистические
самостоятельный:  самостоятельной самостоятельного
установить:  установлен
парный:  парной парная
последний:  последнего
найти:  найдём найдена найден найти
взаимоуничтожиться:  взаимоуничтожатся
несколько:  несколько
сборник:  сборники
параметрический:  параметрическом параметрической
понравиться:  понравилась
таблица:  таблице таблицу таблицы таблицей
пара:  пар
часто:  часто
никак:  никак
вариация:  вариация вариации вариацию
получаться:  получается
какой:  какие
способ:  способа способ
решение:  решение решением решения решений
погрешность:  погрешности погрешность
форум:  форум форуме
книга:  книги книга
провести:  провести проведём
случаем:  случаем
прозанудствовать:  прозанудствую
многий:  многим
положить:  положенный
изменяться:  изменяется
выборочный:  выборочный выборочной выборочного выборочное выборочные выборочных выборочному выборочная
содержательный:  содержательный
вектор:  векторы векторов
вращение:  вращения
дойти:  дойдём
наличие:  наличии
именно:  именно
вероятно:  вероятно
копирование:  копирование
использовать:  используют используем использовать используйте
удачный:  удачную
разрыв:  разрыва
выражение:  выражения
основание:  оснований
название:  название
грубо:  грубо
отблагодарить:  отблагодарить
байес:  байеса
простой:  проще
рассматривать:  рассматриваем рассматривают
решать:  решать
свет:  свет
оценить:  оценить оценим
результат:  результат результата результате результатом результаты
теория:  теория теории
вывод:  выводы выводов вывод выводами
характеризовать:  характеризует характеризуют
определять:  определяем
свериться:  свериться
называть:  называют называемым
ннгасу:  ннгасу
двумерный:  двумерная
задать:  заданной задайте
тело:  тела
циркуляция:  циркуляция
прилежный:  прилежнее
непосредственно:  непосредственно
слева:  слева
расчёт:  расчёты расчёта
плоскость:  плоскости плоскость
отношение:  отношение отношением отношении отношения
общий:  общим общая общие общий общем общей общую
получиться:  получится
определителяй:  определителяи
пункт:  пункты пункт пункте пункту
согласно:  согласно
закон:  законы
факторный:  факторный факторную факторных факторной факторная
самый:  самым самое
качество:  качестве качество качества
знакомый:  знакомую знакомая
насколько:  насколько
хаки:  хаки
ситуация:  ситуацию
столбец:  столбец столбцом столбца
вероятность:  вероятностей вероятность вероятности
нарисовать:  нарисовал
соотнести:  соотнести
уравненийв:  уравненийв
ограничиться:  ограничусь ограничиться
иметь:  имеют имеет имели
отрезок:  отрезок отрезки
грин:  грина
суть:  сути
иванов:  иванов
эйлер:  эйлера
дисциплина:  дисциплиной
удовлетворительно:  удовлетворительно
остальной:  остальные
объяснять:  объясняет
дискретный:  дискретный
знакочередоваться:  знакочередующиеся
приложение:  приложений
прогуливать:  прогуливает
произвольный:  произвольных
сложный:  сложной сложные сложных
термин:  терминами
фурье:  фурье
поле:  поля
свойство:  свойства
исследование:  исследование исследованиях исследования
точка:  точки точка точкам точке
преодолеть:  преодолеть
основа:  основы основе основу
успеваемость:  успеваемости успеваемость
мало:  мало
интервал:  интервалы
кош:  коши
выше:  выше
составлять:  составляет
соответствующий:  соответствующих соответствующие
чайник:  чайников
вычисленияс:  вычисленияс
матричный:  матричные матричных матричный
заметить:  заметили заметить
однородный:  однородные однородным однородного
функциональный:  функциональной функциональные
очень:  очень
коэффициент:  коэффициентом коэффициент коэффициенты коэффициента
матрица:  матрицу матрицы матрицами
испытанияй:  испытанияи
интегралыть:  интегралыв
перегруппировка:  перегруппировка
практический:  практической
каждый:  каждое каждому
остаток:  остатков остаток
помощь:  помощью
понять:  поняли
вариационный:  вариационный
критерий:  критерия критерий
оптимальный:  оптимальная
исключение:  исключением
статистически:  статистически
отложить:  отложить
блог:  блог
высокий:  высших высшей высшая
пространство:  пространстве
совокупность:  совокупности совокупность
удобный:  удобный
занятие:  занятиях
курс:  курс
координата:  координаты координат координатах
весь:  всеми вся всей
сообщить:  сообщите
сделать:  сделать сделанный
аналитический:  аналитическая аналитической
понижение:  понижение понижением
центр:  центр
чувствительный:  чувствительна
фишер:  фишера
считаться:  считается считаются
нижегородский:  нижегородская
логичный:  логичнее
затем:  затем
табличка:  табличка
построение:  построение построении
вспоминать:  вспоминаем
линейнойкорреляционный:  линейнойкорреляционной
синий:  синяя
действие:  действия
надёжно:  надёжно
способность:  способности
добавочный:  добавочный
оставаться:  остаётся
пора:  пор
ответить:  ответили
почему:  почему
распределениякритерия:  распределениякритерий
кратко:  кратко
оказывать:  оказывает
несобственный:  несобственные
следующий:  следующую
зрение:  зрения
неприличие:  неприличия
случайность:  случайность
ключ:  ключе
увеличение:  увеличением
обусловить:  обусловлено обусловлена обусловлены
полностью:  полностью
единичный:  единичным
касательная:  касательная
эквивалентный:  эквивалентна эквивалентной
задачис:  задачис
разный:  разных разные
правило:  правила правило
функциия:  функциии
возможно:  возможно
степенной:  степенного степенные
функцийдвуха:  функцийдвух
заполнить:  заполнили заполним
функцийнесколький:  функцийнескольких
выполнить:  выполнив выполнены
квадрат:  квадрат квадраты квадратов
множественнойлинейный:  множественнойлинейной
пояснение:  пояснение
доля:  долю
зависимость:  зависимости зависимость
распределение:  распределение распределения
забывать:  забываем
потренироваться:  потренируемся
неслучайный:  неслучайных
добрый:  доброй
конкретный:  конкретных конкретным конкретная
решить:  решим решить решили
задачипо:  задачипо
востребовать:  востребованную
приблизить:  приближенные
вариант:  вариант вариантов
юный:  юного
анализировать:  анализируя
нарабатывать:  нарабатывать
зависимый:  зависимые
произведение:  произведение
знать:  знаете
вполне:  вполне
время:  времени
дуга:  дуги
частность:  частности
отрезкать:  отрезкав
дивергенция:  дивергенция
сайт:  сайт сайты сайта
графика:  графики графика
квадратный:  квадратный
подробный:  подробнее
идти:  идёт шла
расположить:  расположены
возрастание:  возрастание
абсолютный:  абсолютной абсолютная
найтись:  нашлось
урок:  уроков урок уроке
иррациональный:  иррациональных
повод:  поводу
условие:  условий условия условию
определение:  определению определения
квадратичнуюформ:  квадратичнуюформу
карта:  карта
называться:  называться
многочисленный:  многочисленных
гипербола:  гипербола
равно:  равно
образец:  образце
они:  ними
логика:  логики
спирмена:  спирмена
вид:  виду виды вид виде
эконометрика:  эконометрики эконометрике эконометрика
возникать:  возникает
вовсе:  вовсе
лишь:  лишь
св:  св
второй:  второго второй
предыдущий:  предыдущих предыдущем предыдущую
достаточно:  достаточно
похожий:  похожа
показательный:  показательное
преобразование:  преобразования преобразований
раскладываться:  раскладывается
диффура:  диффурами
соционометрика:  соционометрикой
этот:  эта
мера:  меры меру
конкурировать:  конкурирующей
множество:  множество множества
статистика:  статистика статистики
рассеяние:  рассеяния
параллельный:  параллельна
биномиальный:  биномиальное
построить:  построенной построить построенная построим
закалить:  закалит
линиюв:  линиюв
везде:  везде
проходить:  проходить
путь:  путями
смысл:  смысл
дуприближённо:  дуприближённо
скользкий:  скользкие
асимптота:  асимптоты
событие:  события
дополнительный:  дополнительным
повторный:  повторные
заходить:  заходит
генеральный:  генеральным генеральное генеральный генеральная
причинный:  причинных
широкий:  широкого
состоять:  состоит
фнп:  фнп
простейшее:  простейшие
иной:  иными иной
двойной:  двойные двойной
несобство:  несобств
невзирая:  невзирая
любимцев:  любимцева
преобразованиеквадратичный:  преобразованиеквадратичной
методичка:  методичка
участок:  участок
предъявлять:  предъявляемые
строгий:  строгой строг
геометрический:  геометрическая геометрической геометрическое
диаграмма:  диаграммой диаграмму
важный:  важного
аппроксимация:  аппроксимации
сложенияй:  сложенияи
правый:  правый
польза:  пользу
исчисление:  исчисления
локальный:  локальная
ожидание:  ожидание
прилично:  прилично
лаплас:  лапласа
перегиб:  перегиба
сходимость:  сходимости сходимость
ду:  ду
работать:  работают
далее:  далее
делать:  делать
неопределённый:  неопределенный неопределенном
дробь:  дробей
собственный:  собственные
поэтому:  поэтому
практика:  практике практику
разумеется:  разумеется
визуально:  визуально
хватить:  хватит
теоретический:  теоретические
коль:  коль
асимметрия:  асимметрия
каки:  каки
необоснованно:  необоснованно
главный:  главную
объясняться:  объясняется
сводиться:  сводящиеся
приходиться:  приходятся
замена:  замены
алгоритм:  алгоритма
характер:  характер
маленький:  меньше
показывать:  показывает
отрицательный:  отрицательными
например:  например
решенияопределённый:  решенияопределенных
мерило:  мерилом
хотя:  хотя
аналогичный:  аналогичное
вверху:  вверху
коэффициентковариация:  коэффициентковариации
выполнение:  выполнение
далёкий:  далеки
рассуждение:  рассуждения
лопиталя:  лопиталя
поляформула:  поляформула
ячейка:  ячейка
фехнера:  фехнера
эффективный:  эффективные
условный:  условные
эллипс:  эллипс
регрессионный:  регрессионные регрессионное регрессионная регрессионной
левый:  левая
даламбер:  даламбера
сопоставление:  сопоставлений
теорема:  теоремы
двойка:  двойка
факт:  факт факты
располагаться:  располагаться
повторнойя:  повторнойи
естественно:  естественно
делиться:  делится
комплексный:  комплексные комплексного комплексный комплексными
ранг:  ранг
кривая:  кривой кривую
тяжестиплоска:  тяжестиплоской
относительно:  относительно
зато:  зато
разброс:  разброса
исторически:  исторически
назвать:  назвать
шкала:  шкалу
разобраться:  разберёмся
внимание:  внимание
учесть:  учтёнными
лейбниц:  лейбница
привести:  приведу привести
лениться:  ленимся
суммарный:  суммарной суммарная
критичный:  критична
неравенство:  неравенства
поток:  поток
синоним:  синонимы
неучтённый:  неучтёнными
медиана:  медиана
тьма:  тьма
сидоров:  сидоров
корреляционный:  корреляционная корреляционной корреляционного
направлениюй:  направлениюи
приближать:  приближает
единственный:  единственное единственный
гостевой:  гостевая
рисунок:  рисунок рисунке
скоро:  скоро
многовато:  многовато
кроме:  кроме
равный:  равен равна
понятно:  понятно
иметься:  имеются
внутригрупповаяй:  внутригрупповаяи
зависеть:  зависит зависящего
алгебра:  алгебры
вникнуть:  вникнем
шанс:  шансами
существовать:  существует
принцип:  принципом
прямоугольник:  прямоугольников
эксцессэмпирический:  эксцессэмпирического
учиться:  учится учимся
оценка:  оценка оценки
криволинейный:  криволинейные
различный:  различных
библиотека:  библиотека
корень:  корень
наименьшеезначение:  наименьшеезначения
сила:  силы
вычислимый:  вычислим
попов:  попова
системылинейный:  системылинейных
нужно:  нужно
возводить:  возводят возводить
обходиться:  обходясь
замкнутый:  замкнутому
должный:  должен должна
очевидный:  очевидно
источник:  источников источниках
проверить:  проверим проверить
желать:  желаю желающим
показатель:  показатели
рамка:  рамках
рассчитывать:  рассчитывают
сильно:  сильно
площадьс:  площадьс
ранее:  ранее
большинство:  большинстве
убыванией:  убываниеи
интегрирование:  интегрирование
рациональный:  рациональные
пока:  пока
нуль:  нулю нуля
интервальный:  интервальный
институт:  института
соответственно:  соответственно
итак:  итак
затрудняться:  затрудняетесь
учитывать:  учитывает
среднее:  среднем среднего
вообще:  вообще
оценкия:  оценкии
неявный:  неявной
достигать:  достигая
несобственныхинтеграл:  несобственныхинтегралов
вероятностибиномиальный:  вероятностибиномиального
подсчитывать:  подсчитывает
экономический:  экономических
стандартный:  стандартного
род:  рода
гаусс:  гаусса
промежуточный:  промежуточные
выразить:  выразить
экстремальный:  экстремальные
нормаль:  нормали
определитель:  определитель
качественный:  качественной
компромисс:  компромисса
чеддок:  чеддока
противоположный:  противоположный
выпуклость:  выпуклость
состав:  состава
элемент:  элементы
менее:  менее
предельный:  предельном
сложность:  сложности
значенияй:  значенияи
справедливо:  справедливо
первый:  первого первый
кстати:  кстати
классическоеопределение:  классическоеопределение
инормаль:  инормаль
точность:  точность
пирамида:  пирамида
наслать:  нашли
автор:  автор автора
понимание:  понимания
оказаться:  окажется
распоряжение:  распоряжении
отмечать:  отмечал
дифференциальный:  дифференциальные
уравненияс:  уравненияс
онлайн:  онлайн
геометрия:  геометрии геометрия
работа:  работа
осветить:  освещён
новый:  новому
произвольныйтройный:  произвольныйтройной
ниже:  ниже
круг:  круга
дизайн:  дизайна
это:  это
поляй:  поляи
опечатка:  опечатку
продолжать:  продолжаем
речь:  речь
данный:  данном данное данный
технически:  технически
статья:  статье
повезти:  повезло
увеличиваться:  увеличивается
различаться:  различаются
направление:  направлении направление
методомоперационный:  методомоперационного
бесповторный:  бесповторной
освещать:  освещаю
л:  л
итоговый:  итоговые
помочь:  поможет
прогул:  прогулы прогулов
внизу:  внизу
елисеев:  елисеева
макет:  макета
касательный:  касательных
истина:  истиной
типовыхзадача:  типовыхзадач
ранговойкорреляция:  ранговойкорреляции
цвет:  цвет
отдельно:  отдельно
искомое:  искомое
сколько:  сколько
исследовать:  исследовать
поверхность:  поверхности
совпасть:  совпал
линейныйкоэффициент:  линейныйкоэффициент
приступать:  приступаем
посредственно:  посредственно
несобственныйинтеграл:  несобственныйинтеграл
доступно:  доступно
объём:  объёме объем
причём:  причём
логично:  логично
задавать:  задаваемые
прояснить:  прояснить
ипример:  ипримеры
требоваться:  требуется
поверхностный:  поверхностные
фигура:  фигуры
изучать:  изучаем
пуассон:  пуассона
подобный:  подобные
изучение:  изучению
неприятность:  неприятность
однако:  однако
ролик:  ролик
несмотря:  несмотря
ответ:  ответом ответы
рис:  рис
математическоеожидание:  математическоеожидание
придерживаться:  придерживался
школа:  школа
напомнить:  напомню
близкий:  ближе близка
неоднородный:  неоднородные
кратное:  кратные
системудифференциальный:  системудифференциальных
неудачно:  неудачно
помимо:  помимо
эконометрист:  эконометриста
сильный:  сильная
последовательность:  последовательностей
квадратичный:  квадратичные
любимец:  любимцев
поскольку:  поскольку
округление:  округлений
гипергеометрическоераспределение:  гипергеометрическоераспределение
наблюдать:  наблюдаемое
раз:  раза
подробно:  подробно
равномерный:  равномерная равномерное
треугольный:  треугольная
пожалуйста:  пожалуйста
следовать:  следует
вдоль:  вдоль
сразу:  сразу
функциюкомплексный:  функциюкомплексной
напоминать:  напоминаю
заодно:  заодно
мода:  мода
свойстваэлементарный:  свойстваэлементарных
принимать:  принимает
считать:  считать
теснота:  тесноты
ворота:  ворота
калькулятор:  калькулятор
научиться:  научиться
делить:  делит
оба:  оба
доверять:  доверять
определённый:  определенный определенного
предположение:  предположение
быстренько:  быстренько
экстремум:  экстремумы
горнера:  горнера
тема:  темой
хороший:  наилучшим хорошим хороша
функцийв:  функцийв
ознакомиться:  ознакомиться
недавний:  недавний
подставить:  подставить
три:  трёх
дискретнойслучайный:  дискретнойслучайной
билет:  билетом
ждать:  ждали
популярный:  популярном популярен
крамер:  крамера
объяснимый:  объяснима
парабола:  парабола
строго:  строго
интерес:  интерес
запретить:  запрещено
функциидвуха:  функциидвух
емелин:  емелин
оформлять:  оформлять
вычисленияопределенный:  вычисленияопределенных
задачин:  задачина
замечательный:  замечательные
системый:  системыи
удовлетворяетлить:  удовлетворяетли
сей:  сих
всякий:  всякий
перейти:  перейти
тригонометрический:  тригонометрических
встречаться:  встречается
заданав:  заданав
порядок:  порядка порядков
всё:  всё
тройной:  тройные
деление:  деления
являться:  является
контуруформула:  контуруформула
график:  график
дело:  деле дело
просуммировать:  просуммировать
среднеожидаемый:  среднеожидаемое
подтвердиться:  подтвердилось
либо:  либо
проверочка:  проверочка
рекомендовать:  рекомендую
примерно:  примерно
независимый:  независимые
дождаться:  дождались
неудовлетворительно:  неудовлетворительно
подход:  подход
разобрать:  разберу
обозначение:  обозначения
корреляция:  корреляции
прежде:  прежде
значимый:  значимо
заочник:  заочников
говорить:  говоря
повторять:  повторяем
появиться:  появилось
