лотерея:  лотерею лотереи лотерее
независимыеслучайный:  независимыеслучайные
следовательно:  следовательно
теорема:  теоремам теоремах теорему теоремы теорема
модель:  модель модели
непрерывность:  непрерывность
серия:  серию серии
примитивный:  примитивном
попадание:  попаданий
лес:  лес лесу
призовой:  призового
функциис:  функциис
полный:  полной полных полную полное
зеркало:  зеркало
значит:  значит
уменьшаться:  уменьшаться
пирсон:  пирсона
реальный:  реальной реального
вопрос:  вопрос вопросы
хороший:  хороших
найти:  найденной найдёт найти
межгрупповой:  межгрупповая
ортогональный:  ортогональное
обуславливаться:  обуславливается
нсв:  нсв
равновозможность:  равновозможность равновозможности
некий:  некий некой
провести:  провёл проведено провести проведённой проведённых
розыгрыш:  розыгрышей розыгрыши розыгрыше
тесно:  тесно
упасть:  упал упала
спорт:  спорта
билет:  билету билетов билета
перестать:  перестанет
отрезка:  отрезке
величина:  величина величин величины
рождение:  рождения
игра:  игры
европейский:  европейской
парта:  парте
пособие:  пособии
провал:  провалы
разрулить:  разрулить
учебный:  учебном учебной
блестящий:  блестящие
материал:  материалом материалов материалы
короче:  короче
один:  одним одному
некраплёный:  некраплёной
закономерность:  закономерность
детерминация:  детерминации
сторона:  стороны
подсчитать:  подсчитать подсчитаны
следующий:  следующие следующих следующий следующей следующем
деталь:  детали деталей
решаться:  решается
недостаток:  недостатках
дифференциальныеуравнение:  дифференциальныеуравнения
связать:  связана
прямой:  прямая прямой прямую
подбросить:  подброшена
постоянный:  постоянных
стокс:  стокса
схема:  схема
работа:  работы работа
самостоятельно:  самостоятельно
дробовик:  дробовик
математика:  математике математики
векторный:  векторное векторного
сам:  самом
вероятностия:  вероятностии
скалярный:  скалярное
совершенно:  совершенно
наш:  нашем наш нашей
затруднительно:  затруднительно
понятный:  понятен
значимость:  значимости
девочка:  девочками
анализ:  анализа анализ
статистический:  статистической статистическое статистического статистическую статистическая статистические
частный:  частное частные
парный:  парной
регион:  регионе
крупный:  крупного крупный
сборник:  сборники
параметрический:  параметрическом параметрической
глава:  главе
граница:  границы
показаться:  показалось
таблица:  таблице таблицы
часто:  часто
человек:  человек человека
получаться:  получается
появиться:  появиться появилось
новорождённый:  новорожденных
находить:  находим
ключевой:  ключевых
решение:  решение решением решения решений
форум:  форум форуме
книга:  книги книга
достоверно:  достоверно
обнаруживать:  обнаруживает
испытание:  испытаниях испытания испытаний испытании
проанализировать:  проанализируем
нечасто:  нечасто
вектор:  векторы векторов
вращение:  вращения
наряду:  наряду
именно:  именно
кубик:  кубик кубика
вероятно:  вероятно
копирование:  копирование
давать:  давайте
разрыв:  разрыва
выражение:  выражения
выиграть:  выиграют выигравших выиграли выиграть
винтовка:  винтовкой
роль:  роль
увеличить:  увеличить
взять:  взятом взятый
отблагодарить:  отблагодарить
байес:  байеса
простой:  проще простой
решать:  решать
выигрыш:  выигрыша выигрыш выигрышей
теория:  теория теории
продолжение:  продолжение
стрелка:  стрелок
родить:  рождённых
называть:  называют
двумерный:  двумерная
задать:  заданной заданная задайте заданное заданного
тело:  тела
циркуляция:  циркуляция
отклонение:  отклонения отклонение отклонением
случаться:  случаться
плоскость:  плоскости плоскость
отношение:  отношение отношении
неравновозможность:  неравновозможность
изучение:  изучение
определителяй:  определителяи
задний:  задней
закон:  законы
далее:  д
качество:  качестве
пункт:  пункт
ситуация:  ситуацию ситуаций
непредсказуемый:  непредсказуем
вероятность:  вероятностей вероятность вероятностях вероятности вероятностью
ладный:  ладно
уравненийв:  уравненийв
количество:  количества количество количестве
грин:  грина
эйлер:  эйлера
невозможно:  невозможно
дискретный:  дискретный
событие:  событие события событий событию
знакочередоваться:  знакочередующиеся
тысяча:  тысячи тысяч тысячу
известный:  известному известна известную известны известные
практически:  практически
происходить:  происходят происходит
произвольный:  произвольных
сложный:  сложной сложные сложных
будущее:  будущем
фурье:  фурье
поле:  поля
посредством:  посредством
гипотеза:  гипотез гипотеза гипотезы
заранее:  заранее
свойство:  свойства свойство
поляна:  поляна
исследование:  исследование исследования
вариант:  варианте
вид:  видах виду видам виды виде
весь:  всем вся
женщина:  женщину женщин
точка:  точки точке
вариация:  вариации
фонд:  фонда
основа:  основы основе
слишком:  слишком
заведение:  заведения
кош:  коши
составлять:  составляет
чайник:  чайников
вычисленияс:  вычисленияс
решка:  решка
модуль:  модуля
правый:  правую
матричный:  матричные матричных матричный
обеспечить:  обеспечить
планироваться:  планируется
однородный:  однородные однородным
вычислить:  вычислить
очень:  очень
фактический:  фактического
матрица:  матрицу матрицы матрицами
испытанияй:  испытанияи
интегралыть:  интегралыв
перегруппировка:  перегруппировка
киношный:  киношная
помощь:  помощью
продажа:  продаж
размер:  размера
истина:  истины
вариационный:  вариационный
исход:  исходов исходы исхода
элементарный:  элементарных элементарные
процент:  процент
отложить:  отложить
блог:  блог
высокий:  высших высшей высокая высшая
помнить:  помнить
год:  лет
пространство:  пространстве
удобный:  удобный
курс:  курс
координата:  координаты координат координатах
интересный:  интереснейшее
окончательно:  окончательно
сообщить:  сообщите
основный:  основным
сделать:  сделать
главный:  главном главную
аналитический:  аналитическая аналитической
понижение:  понижение понижением
определить:  определить
финальный:  финальный
браковать:  бракованной бракованных
центр:  центр центром
орёл:  орла орёл орлом
сложиться:  сложилось
сложение:  сложения
узкий:  узком
обстоятельство:  обстоятельствах
психологический:  психологические
построение:  построение
проверка:  проверку проверка
гриб:  грибы грибами
линейнойкорреляционный:  линейнойкорреляционной
действие:  действия
время:  время времени
каждый:  каждом каждой каждую
особо:  особо
мудрый:  мудрых
почему:  почему
распределениякритерия:  распределениякритерий
хотеть:  хотел
сущий:  сущая
результат:  результата результате результаты
несобственный:  несобственные
искомый:  искомая
верхушка:  верхушка
производиться:  производится
откуда:  откуда
случайность:  случайность
завершать:  завершаем
увеличение:  увеличением
касательная:  касательная
ответ:  ответ ответы
задачис:  задачис
эквивалентный:  эквивалентна
правило:  правила правило
функциия:  функциии
возможно:  возможно
степенной:  степенного степенные
функцийдвуха:  функцийдвух
выборка:  выборке выборку выборки
подберёзовик:  подберёзовики подберёзовик
функцийнесколький:  функцийнескольких
подготовка:  подготовки
перемешать:  перемешанной
покрасить:  покрасить
понять:  понять
треф:  трефа
квадрат:  квадрат квадратов
город:  городе
множественнойлинейный:  множественнойлинейной
показать:  показано
распределение:  распределение распределения
задачипо:  задачипо
спортивный:  спортивная
независимый:  независимых независимые
востребовать:  востребованную
приблизить:  приближенные
извлечь:  извлечена
проигрываться:  проигрывается
примечание:  примечание
чистый:  чистая
зависимый:  зависимые
предложить:  предложил
путём:  путём
произведение:  произведение
знать:  знаете знает знаем
внимательный:  внимательный
зеро:  зеро
случайный:  случайных случайное случайные
предварительно:  предварительно
сократиться:  сократится
дуга:  дуги
дробь:  дробь дробей
отрезкать:  отрезкав
играть:  играет
дивергенция:  дивергенция
соотношение:  соотношение
похожий:  похожих
сайт:  сайт сайты сайта
графика:  графики графика
красочный:  красочные
пересчитать:  пересчитать
причина:  причине
возрастание:  возрастание
эмпирический:  эмпирические
найтись:  нашлось
этот:  этих эта
аппетит:  аппетит
вряд:  вряд
иррациональный:  иррациональных
брак:  брака
определение:  определению определение определения
квадратичнуюформ:  квадратичнуюформу
карта:  карта карт
гипербола:  гипербола
они:  ними
счастливчик:  счастливчика
логика:  логики
спирмена:  спирмена
подсчёт:  подсчёта
аналогичный:  аналогичная аналогичных
пожелание:  пожелание
возникать:  возникает
упорный:  упорной
оценивать:  оценивает оценивать
вовсе:  вовсе
св:  св
второй:  второго
иметь:  имеет
предыдущий:  предыдущих предыдущем предыдущего
кость:  кости
пара:  пара
достаточно:  достаточно
солидный:  солидной
показательный:  показательное
преобразование:  преобразования преобразований
слить:  сольёт
диффура:  диффурами
семья:  семье
весьма:  весьма
аргумент:  аргумент
вычисление:  вычисление
использовать:  используем используйте
статистика:  статистика статистику статистики
сохранять:  сохраняя
подставлять:  подставляем
биномиальный:  биномиальное
нестрогий:  нестрогое
прибыль:  прибыль
линиюв:  линиюв
важный:  важна
история:  история
самостоятельный:  самостоятельного
хотеться:  хочется
телевизионный:  телевизионные
ждать:  жду
смысл:  смысл
решить:  решить решив
раздел:  раздела
дуприближённо:  дуприближённо
достоверный:  достоверным
информация:  информации информация
асимптота:  асимптоты
унылый:  унылая
повторный:  повторные
фигурировать:  фигурировала
порядок:  порядок порядка порядков
классифицировать:  классифицирует
предугадать:  предугадать
установить:  установлена
варьироваться:  варьироваться
продать:  проданных продать продано
б:  б
состоять:  состоит
успех:  успеха
фнп:  фнп
продемонстрировать:  продемонстрировано
простейшее:  простейшие
иной:  иными иной
конец:  конце концу
часть:  частям часть части
везение:  везения везение
двойной:  двойные двойной
встреча:  встреч
несобство:  несобств
нелинейный:  нелинейная
купить:  купите
преобразованиеквадратичный:  преобразованиеквадратичной
функциональный:  функциональные
комментарий:  комментарии
переходить:  переходить
геометрический:  геометрическая геометрическое
встречаться:  встречаются
классический:  классическому классическое классического
точность:  точностью точность
составить:  составила составит
тот:  тому той ту
срабатывать:  срабатывает
сложенияй:  сложенияи
регрессия:  регрессии регрессия
дойти:  дойдёте
требовать:  требуют
соревнование:  соревнованиями
исчисление:  исчисления
локальный:  локальная
сказать:  сказать
указанный:  указанной
ожидание:  ожидание
казино:  казино
лаплас:  лапласа
такой:  таким такое таких
перегиб:  перегиба
сходимость:  сходимости сходимость
представить:  представьте
зайти:  зайдёт зашёл
оказаться:  оказаться окажется
ду:  ду
иметься:  имеется
коэффициент:  коэффициент
неопределённый:  неопределенный неопределенном
промежуток:  промежуток
собственный:  собственные
признак:  признак признаки
поэтому:  поэтому
практика:  практике практики
разумеется:  разумеется
округлять:  округлять
неравенство:  неравенство неравенства
безусловно:  безусловно
устойчивость:  устойчивости
коль:  коль
асимметрия:  асимметрия
скажем:  скажем
представимый:  представим
сводиться:  сводящиеся
собственно:  собственно
дать:  дать данные данной
замена:  замены
маленький:  меньше маленьких
шарик:  шарик
умножать:  умножая
например:  например
решенияопределённый:  решенияопределенных
доступ:  доступе
серьёзный:  серьёзной
цвет:  цвета цвет
ставка:  ставка
душа:  душе
цель:  цели
коэффициентковариация:  коэффициентковариации
первый:  первой первого первый
близкий:  близкое ближе
маловозможный:  маловозможные
равновозможный:  равновозможных
лопиталя:  лопиталя
следствие:  следствиям
обычно:  обычно
подойти:  подошёл
ставить:  ставим
поляформула:  поляформула
колебаться:  колеблется
фехнера:  фехнера
наивероятный:  наивероятнейшего
эффективный:  эффективные
беспроблемный:  беспроблемно
популярный:  популярна
отдать:  отдадут
условный:  условные условный
эллипс:  эллипс
стабильный:  стабильный
рост:  росте
даламбер:  даламбера
факт:  факт
повторнойя:  повторнойи
ровно:  ровно
мелочь:  мелочь
эволюционно:  эволюционно
комплексный:  комплексные комплексного комплексный комплексными
ранг:  ранг
кривая:  кривой
тяжестиплоска:  тяжестиплоской
относительно:  относительно
пойти:  пошёл
построить:  построить
событияй:  событияи
внимание:  внимание
лейбниц:  лейбница
случай:  случае
выпасть:  выпадет
лениться:  ленимся
поток:  поток
изложить:  изложенным
подход:  подходам
медиана:  медиана
бывать:  бывает
направлениюй:  направлениюи
благодаря:  благодаря
гостевой:  гостевая
скоро:  скоро
стать:  станет стать
кроме:  кроме
понятно:  понятно
вывод:  вывод
внутригрупповаяй:  внутригрупповаяи
зависеть:  зависит
алгебра:  алгебры
сумма:  сумму сумма
оборот:  оборотов
наоборот:  наоборот
существовать:  существует
поражение:  поражения
намного:  намного
прямоугольник:  прямоугольников
отличаться:  отличаться
получиться:  получиться
эксцессэмпирический:  эксцессэмпирического
десятка:  десятки
учесть:  учесть учтёт
криволинейный:  криволинейные
спасать:  спасают
библиотека:  библиотека
доля:  доля
некорректный:  некорректной
изготовление:  изготовления
наименьшеезначение:  наименьшеезначения
сила:  силы
задачка:  задачка
протяжение:  протяжении
штрих:  штрих
рассказывать:  рассказывал
системылинейный:  системылинейных
создать:  создаст
нужно:  нужно
наступить:  наступит наступить
зависимость:  зависимость
другой:  другие другого
замкнутый:  замкнутому
должный:  должен должно должна
байка:  байка
показатель:  показатели
зарок:  зарок
сильно:  сильно
площадьс:  площадьс
ранее:  ранее
большинство:  большинстве
убыванией:  убываниеи
повышенный:  повышенной
одинаковый:  одинаковых
также:  также
интегрирование:  интегрирование
рациональный:  рациональные
благоприятствовать:  благоприятствующих
нуль:  нулю
каверзный:  каверзная
ограничение:  ограничения
интервальный:  интервальный
итак:  итак
учитывать:  учитывает
так:  т
среднее:  среднем
вообще:  вообще
преуменьшать:  преуменьшаю
оценкия:  оценкии
неявный:  неявной
несобственныхинтеграл:  несобственныхинтегралов
вероятностибиномиальный:  вероятностибиномиального
аудитория:  аудиторию
род:  рода
гаусс:  гаусса
расклад:  расклад
точно:  точно
скорый:  скорых
экстремальный:  экстремальные
расчётный:  расчётного
нормаль:  нормали
определитель:  определитель
желать:  желающие
собираться:  собирается
выпуклость:  выпуклость
элемент:  элементы
теоретический:  теоретической
гмурман:  гмурмана
менее:  менее
участник:  участникам участников
сложность:  сложности
значенияй:  значенияи
взяться:  взялись взялось
кстати:  кстати
вывести:  выведена
классическоеопределение:  классическоеопределение
инормаль:  инормаль
вновь:  вновь
бесхитростный:  бесхитростных
пирамида:  пирамида
автор:  автор автора
делимый:  делим
столько:  столько
разница:  разница
распоряжение:  распоряжении
счёт:  счёт
дифференциальный:  дифференциальные
уравненияс:  уравненияс
онлайн:  онлайн
геометрия:  геометрии геометрия
рано:  рано
расхождение:  расхождение
новый:  новому
произвольныйтройный:  произвольныйтройной
дизайн:  дизайна
дом:  дома
это:  это
прицелиться:  прицелился
поляй:  поляи
опечатка:  опечатку
вольный:  вольные
айсберг:  айсберга
неудивительный:  неудивительно
речь:  речь
замаскироваться:  замаскировавшиеся
статья:  статье
повезти:  повезло
трудный:  труднее
вероятный:  вероятное
методомоперационный:  методомоперационного
бесповторный:  бесповторной
правильно:  правильно
незначительно:  незначительно
ошибка:  ошибку
л:  л
грядущий:  грядущими
поздно:  поздно
внизу:  внизу
макет:  макета
касательный:  касательных
приблизительно:  приблизительно
краткий:  краткая краткое
типовыхзадача:  типовыхзадач
сопоставимый:  сопоставимых
участие:  участие
ранговойкорреляция:  ранговойкорреляции
рука:  руки
отдельно:  отдельно
жизнь:  жизни
выстрел:  выстрелов
необходимый:  необходима
сколько:  сколько
исследовать:  исследовать
нетрудно:  нетрудно
поверхность:  поверхности
итого:  итого
образовать:  образуют
заключить:  заключено заключена
линейныйкоэффициент:  линейныйкоэффициент
несобственныйинтеграл:  несобственныйинтеграл
доступно:  доступно
орлов:  орлов
причём:  причём
ребёнок:  детей
повториться:  повторюсь
понятие:  понятий
учиться:  учимся
задавать:  задаваемые
ипример:  ипримеры
множество:  множества
профессионал:  профессионал
требоваться:  требуется требовалось
поверхностный:  поверхностные
принимать:  принимают
фигура:  фигуры
пуассон:  пуассона
подобный:  подобные
однако:  однако
далёкий:  далека
поубавить:  поубавить
системный:  системной
проведение:  проведения
фактически:  фактически
немаловажный:  немаловажную
выпустить:  выпущенных
математическоеожидание:  математическоеожидание
школа:  школа
неоднородный:  неоднородные
необходимо:  необходимо
около:  около
участвовать:  участвовать
обратить:  обратим
отсутствие:  отсутствии
цикл:  цикл
кратное:  кратные
свободный:  свободном
заходить:  заходила
системудифференциальный:  системудифференциальных
превращаться:  превращается
каков:  каков
сотня:  сотне
результативность:  результативности
последовательность:  последовательностей
пожертвовать:  пожертвовать
квадратичный:  квадратичные
стандартный:  стандартных
стремиться:  стремится
проверить:  проверить
утверждать:  утверждать
поскольку:  поскольку
гипергеометрическоераспределение:  гипергеометрическоераспределение
раз:  раза
многое:  многом
принять:  приняло принять
подробно:  подробно
равномерный:  равномерная равномерное
исключительно:  исключительно
треугольный:  треугольная
картина:  картина
пожалуйста:  пожалуйста
поставить:  поставить
максимальный:  максимальный
функциюкомплексный:  функциюкомплексной
напоминать:  напоминаю
традиционный:  традиционное
мода:  мода
свойстваэлементарный:  свойстваэлементарных
остановиться:  остановился
калькулятор:  калькулятор
научиться:  научиться
закономерный:  закономерные
приближаться:  приближаться приближается
признать:  признать
подбрасывание:  подбрасывании
организатор:  организатор
рассматривать:  рассматриваемая
приносить:  приносит
действительно:  действительно
прочий:  прочих
экстремум:  экстремумы
приниматься:  принимается
горнера:  горнера
игральный:  игральной
сеанс:  сеансе
брать:  брать
функцийв:  функцийв
отклониться:  отклонится
приблизиться:  приблизится
довольно:  довольно
очко:  очков
натуральный:  натурального
среди:  среди
три:  трёх
третий:  третьей
дискретнойслучайный:  дискретнойслучайной
знак:  знак
прекрасно:  прекрасно
задание:  задания
встретить:  встретить
масть:  масти
крамер:  крамера
обосновать:  обосновать
симметрия:  симметрией
парабола:  парабола
повторимый:  повторим
проживать:  проживает
запретить:  запрещено
функциидвуха:  функциидвух
емелин:  емелин
многолетний:  многолетнего
вычисленияопределенный:  вычисленияопределенных
задачин:  задачина
замечательный:  замечательные
системый:  системыи
удовлетворяетлить:  удовлетворяетли
прийти:  придёт
сегодня:  сегодня
приходиться:  приходится
применение:  применения
тригонометрический:  тригонометрических
младенец:  младенцев
разведчик:  разведчиков
совершить:  совершил
век:  веков
проиграться:  проиграется
заданав:  заданав
всё:  всё
что:  чём
лекция:  лекции
тройной:  тройные
практический:  практическая
деление:  деления
бросок:  броска
штирлиц:  штирлиц
являться:  является
контуруформула:  контуруформула
график:  график
дело:  деле
друг:  друзей
владелец:  владельцам
либо:  либо
выяснить:  выяснили
рекомендовать:  рекомендую
примерно:  примерно
эн:  эн
профессиональный:  профессиональный
утверждение:  утверждением
привести:  привести
корреляция:  корреляции
заочник:  заочников
желаемый:  желаемую
миниатюра:  миниатюра
уменьшение:  уменьшении
литература:  литературе
