скобка:  скобками скобки
гипотеза:  гипотез гипотеза гипотезы
свойство:  свойства свойству
исследование:  исследование исследованиях
горячий:  горячие
рассуждение:  рассуждений
точка:  точки точках точка точками точке
вариация:  вариации вариацию
добиться:  добиться
основа:  основы
логический:  логическое
студент:  студент студентам
заштриховать:  заштрихованном
кош:  коши
параграф:  параграфа
выше:  выше
арксинус:  арксинусы арксинус арксинусами
начертить:  начертите
соответствующий:  соответствующих
чайник:  чайников чайникам
смена:  сменой
раздел:  раздел раздела
вычисленияс:  вычисленияс
модуль:  модуля
разобрать:  разобраны разобрать разберём
матричный:  матричные матричных матричный
заметить:  заметили заметьте
навык:  навыки
перенести:  перенести перенесём
однородный:  однородные однородным
вычислить:  вычислить
вложить:  вложена
очень:  очень
матрица:  матрицу матрицы матрицами
испытанияй:  испытанияи
интегралыть:  интегралыв
промежуток:  промежутков промежутке
квадратный:  квадратным квадратное квадратных квадратный
перегруппировка:  перегруппировка
логика:  логика логики
помощь:  помощью
вариационный:  вариационный
элементарный:  элементарных элементарными элементарные
арккосинус:  арккосинус арккосинусами арккосинусом
дружка:  дружку
пустой:  пустой пустого
исключение:  исключением
блог:  блог
высокий:  высших высшей высшая
школа:  школы школа
вывод:  выводу
единственный:  единственной единственное единственная
пространство:  пространстве
котангенс:  котангенс котангенсом котангенсами
удобный:  удобный удобнее
курс:  курс курса
подбирать:  подбираю
координата:  координаты координат координатах
сообщить:  сообщите
нечётный:  нечётными
главный:  главном главную
аналитический:  аналитическая аналитическое аналитическую аналитической
понижение:  понижение понижением
левый:  левой
центр:  центр
ножницы:  ножницы
помнить:  помнят
экспонент:  экспоненты
терпеть:  терпит
ветка:  ветки
примитивный:  примитивный примитивными
быстрый:  быстрее
одинарный:  одинарным
сторона:  сторону
преобразование:  преобразованием преобразования преобразование преобразований
интерес:  интересы
оккупировать:  оккупировал
построение:  построение
линейнойкорреляционный:  линейнойкорреляционной
синий:  синяя
действие:  действия
жареный:  жареные
особо:  особо
распределениякритерия:  распределениякритерий
квадратичный:  квадратичной квадратичные
читаться:  читается
нехороший:  нехорошей
начаться:  началось
несобственный:  несобственные
выполнять:  выполнять
зарисовка:  зарисовки
взять:  взяты взяли взять
полностью:  полностью
касательная:  касательная
ответ:  ответ ответы
задачис:  задачис
запоминаться:  запоминаются
правило:  правила правилу правило
функциия:  функциии
степенной:  степенного степенные
функцийдвуха:  функцийдвух
выборка:  выборке
функцийнесколький:  функцийнескольких
накопиться:  накопится
чисто:  чисто
налево:  налево
положительно:  положительно
множественнойлинейный:  множественнойлинейной
потребоваться:  потребуются
согласоваться:  согласуется
распределение:  распределение распределения
задачка:  задачками
график:  графиках график
задачипо:  задачипо
востребовать:  востребованную
приблизить:  приближенные
бумага:  бумага бумаге
хотеться:  хотелось
примечание:  примечание
выкладка:  выкладки
зависимый:  зависимые
приравнять:  приравняем
отклонение:  отклонение
таблица:  таблицы
произведение:  произведение
вполне:  вполне
кто:  кому
случайный:  случайных случайные
дуга:  дуги
частность:  частности
отрезкать:  отрезкав
дивергенция:  дивергенция
пометка:  пометки
чертёж:  чертежа чертежи чертёж
перефразировать:  перефразировать
сайт:  сайт сайты сайта
наш:  наш нашего наша
графика:  графики графика
целый:  целых
расположиться:  расположился
идти:  идёт
причина:  причине
возрастание:  возрастание
эмпирический:  эмпирические
найтись:  нашлось
хромать:  хромать
иррациональный:  иррациональных
повод:  поводу
активный:  активное
определение:  определению определения
квадратичнуюформ:  квадратичнуюформу
карта:  карта
несложный:  несложный
гипербола:  гипербола
важный:  важное
равно:  равно
образец:  образце образца
сменить:  сменить
заострять:  заострять
они:  ними
закономерный:  закономерный
спирмена:  спирмена
вид:  виду виды виде вида
оказаться:  оказалось
возникать:  возникает
равносильный:  равносильны
направить:  направлены
заключительный:  заключительный
рассказывать:  рассказывать
заточить:  заточить
заключить:  заключить
св:  св
избавиться:  избавимся
второй:  второго второму второй вторую
иметь:  имеет
достаточно:  достаточно
попытаться:  попытаемся
показательный:  показательное
соответствовать:  соответствует соответствующий
универсальный:  универсальным
диффура:  диффурами
весьма:  весьма
косинус:  косинуса
аргумент:  аргумент
вычисление:  вычисление
представлять:  представляет
статистика:  статистика
биномиальный:  биномиальное
редкий:  реже редким редкие
линиюв:  линиюв
рабочий:  рабочим
история:  история
самостоятельный:  самостоятельного
справедливый:  справедливы
отношение:  отношении
штриховка:  штриховка штриховкой
исследовать:  исследуя исследовать
смысл:  смысл
трёхчлен:  трёхчлен трёхчленов
дуприближённо:  дуприближённо
событие:  события
повторный:  повторные
вышесказанный:  вышесказанного вышесказанным
фнп:  фнп
действительный:  действительные действительных
простейшее:  простейшие
знаменатель:  знаменателя знаменатель знаменателе
иной:  иными
конец:  конце конца
часть:  частям часть части
знакомый:  знакомые
пролёт:  пролёте
несобство:  несобств
запутать:  запутает
нелинейный:  нелинейная
рисовать:  рисовать
преобразованиеквадратичный:  преобразованиеквадратичной
напрашиваться:  напрашивается
функциональный:  функциональные
азов:  азов
абсолютный:  абсолютная
жизненный:  жизненном
встречаться:  встречаются встречается
сложенияй:  сложенияи
повторяться:  повторяться
регрессия:  регрессии регрессия
вычитание:  вычитание
расстояние:  расстояние
исчисление:  исчисления
двойка:  двойку
гораздо:  гораздо
локальный:  локальная
ожидание:  ожидание
лаплас:  лапласа
такой:  таким такие такое такого такая
перегиб:  перегиба
содержательный:  содержательные
сходимость:  сходимости сходимость
ход:  ходу
задача:  задачи задачах
ду:  ду
далее:  далее
делать:  делать
полуинтервал:  полуинтервал полуинтервале
коэффициент:  коэффициент
неопределённый:  неопределенный неопределенном
удовлетворять:  удовлетворять удовлетворяет удовлетворяют
приходить:  приходим
собственный:  собственные
признак:  признак признаки
аудитория:  аудитории
поэтому:  поэтому
разумеется:  разумеется
увидеть:  увидите
принцип:  принципе
решаться:  решаются
асимметрия:  асимметрия
шаг:  шаге
скажем:  скажем
сводиться:  сводящиеся
замена:  замены
записать:  запишем записать
маленький:  меньше
составить:  составим
результат:  результате
например:  например
решенияопределённый:  решенияопределенных
задаваться:  задаётся
хотя:  хотя
многочлен:  многочленов
тангенс:  тангенса тангенсы тангенс тангенсами
коэффициентковариация:  коэффициентковариации
обозначать:  обозначает
первый:  первой первых первом первого
делить:  делить
абсцисса:  абсцисс
случай:  случаев случае случаях
лопиталя:  лопиталя
матана:  матана
недопонимание:  недопонимание
поляформула:  поляформула
фехнера:  фехнера
подавно:  подавно
эффективный:  эффективные
переставить:  переставив
исключить:  исключим
условный:  условные условный
эллипс:  эллипс
ноль:  ноль
поговорить:  поговорим
задействовать:  задействована
даламбер:  даламбера
теорема:  теоремы
повторнойя:  повторнойи
комплексный:  комплексные комплексного комплексный комплексными
дело:  делах
ранг:  ранг
кривая:  кривой
тяжестиплоска:  тяжестиплоской
сжаться:  сожмётся
относительно:  относительно
зато:  зато
двучлен:  двучлен
допустить:  допустим
проверка:  проверка
нуль:  нули нулю нулях
касаться:  касается
эквивалентный:  эквивалентной
построить:  построить
внимание:  внимание
повторить:  повторить
лейбниц:  лейбница
интересный:  интересна
поток:  поток
предыдущий:  предыдущего
медиана:  медиана
направлениюй:  направлениюи
использовать:  использовать используйте
гостевой:  гостевая
стать:  станет
кроме:  кроме
основание:  основание
говорить:  говорить говоря
понятно:  понятно
закрепление:  закрепления
плохой:  плохие
внутригрупповаяй:  внутригрупповаяи
пара:  пару
алгебра:  алгебры
сумма:  сумму сумма
станция:  станция
существовать:  существует существовать существуют
намного:  намного
остановиться:  остановлюсь
прямоугольник:  прямоугольников
эксцессэмпирический:  эксцессэмпирического
типовой:  типовое типовая
указать:  указан
оценка:  оценка оценки
криволинейный:  криволинейные
различный:  различных
смочь:  сможете
библиотека:  библиотека
разрешимый:  разрешимо
трудность:  трудностей
нога:  ноги
наименьшеезначение:  наименьшеезначения
сила:  силы
системылинейный:  системылинейных
нужно:  нужно
смело:  смело
определить:  определена определены
зависимость:  зависимость
информация:  информация информацию
состоять:  состоящего
замкнутый:  замкнутому
равносильно:  равносильно
бесконечность:  бесконечность
цэ:  цэ
желать:  желаю
насторожиться:  насторожиться
погорячиться:  погорячился
показатель:  показатели
поступать:  поступать
сильно:  сильно
площадьс:  площадьс
большинство:  большинстве
присутствовать:  присутствует
убыванией:  убываниеи
повышенный:  повышенной
статистический:  статистическая статистические
также:  также
интегрирование:  интегрирование
легко:  легко
круглый:  круглыми
рациональный:  рациональные
использование:  использование
натуральный:  натуральный
интервальный:  интервальный
выполняться:  выполняться
привычный:  привычном
итак:  итак
соблюсти:  соблюдены
вообще:  вообще
заморочить:  заморочена
понятный:  понятны
проставить:  проставлены
оценкия:  оценкии
неявный:  неявной
несобственныхинтеграл:  несобственныхинтегралов
вероятностибиномиальный:  вероятностибиномиального
род:  рода
гаусс:  гаусса
экстремальный:  экстремальные
разрешить:  разрешить
весь:  вся весь всей
нормаль:  нормали
путешествие:  путешествия
определитель:  определитель
выпуклость:  выпуклость
элемент:  элементы
менее:  менее
принципиально:  принципиально
сложность:  сложности
значенияй:  значенияи
справедливо:  справедливо
нужный:  нужной нужное
кстати:  кстати
солидный:  солидные
классическоеопределение:  классическоеопределение
инормаль:  инормаль
тетрадь:  тетради
вновь:  вновь
пирамида:  пирамида
путать:  путайте
автор:  автор автора
видеть:  видят видите
считалка:  считалку
счёт:  счёт
дифференциальный:  дифференциальные
уравненияс:  уравненияс
онлайн:  онлайн
геометрия:  геометрии геометрия
новый:  новому
произвольныйтройный:  произвольныйтройной
ниже:  ниже
известный:  известным известные
разложить:  разложить
дизайн:  дизайна
это:  это
прощать:  прощаю
подставить:  подставьте
поляй:  поляи
находиться:  находится
опечатка:  опечатку
продолжать:  продолжаем
речь:  речь
стараться:  стараюсь
продолжиться:  продолжилось
методомоперационный:  методомоперационного
базовый:  базовых
бесповторный:  бесповторной
наверняка:  наверняка
ошибка:  ошибку
л:  л
обойтись:  обойтись
муравей:  муравьёв
вещь:  вещь вещи
касательный:  касательных
рассматривать:  рассматриваемые
большой:  большой
типовыхзадача:  типовыхзадач
взгляд:  взгляд
ранговойкорреляция:  ранговойкорреляции
жизнь:  жизни
расположение:  расположение расположения
посвятить:  посвящен
детский:  детскую
обратиться:  обратится
концерт:  концерта
нетрудно:  нетрудно
порядок:  порядке порядка порядков
поверхность:  поверхности
дискриминант:  дискриминант
пересекать:  пересекает
линейныйкоэффициент:  линейныйкоэффициент
несобственныйинтеграл:  несобственныйинтеграл
доступно:  доступно
объяснение:  объяснения
понятие:  понятия
причём:  причём
вершина:  вершина
учиться:  учимся учащимся
задавать:  задаваемые
ветвь:  ветви
ипример:  ипримеры
особый:  особое
поверхностный:  поверхностные
фигура:  фигуры
пуассон:  пуассона
подобный:  подобные
успех:  успехов
однако:  однако
нубова:  нубов
таки:  таки
устный:  устное
отрицательно:  отрицательно
математическоеожидание:  математическоеожидание
итог:  итоге
напомнить:  напомню
неоднородный:  неоднородные
необходимо:  необходимо
экспонента:  экспонентой
сбросить:  сбросить
технический:  техническом
содержание:  содержания
кратное:  кратные
системудифференциальный:  системудифференциальных
ненулевой:  ненулевым
попадаться:  попадается
иллюзорный:  иллюзорен
абзац:  абзацев
последовательность:  последовательностей
показаться:  покажутся
объём:  объем
предполагаться:  предполагается
проверить:  проверить
поскольку:  поскольку
гипергеометрическоераспределение:  гипергеометрическоераспределение
раз:  раза
обратить:  обратите
подробно:  подробно
равномерный:  равномерная равномерное
треугольный:  треугольная
палец:  палец
необходимость:  необходимость
клеточка:  клеточкам
царство:  царстве
пожалуйста:  пожалуйста
следовать:  следует
усложнить:  усложним
обстоять:  обстоит
случайность:  случайности
себя:  собой
квадрат:  квадратов
пересечение:  пересечение
сразу:  сразу
функциюкомплексный:  функциюкомплексной
напоминать:  напоминаю
мода:  мода
свойстваэлементарный:  свойстваэлементарных
калькулятор:  калькулятор
научиться:  научиться
демонстрироваться:  демонстрировалось
похоже:  похоже
раскрытие:  раскрытия
определённый:  определенный определенного
действительно:  действительно
экстремум:  экстремумы
постараться:  постараюсь
горнера:  горнера
отмечаться:  отмечалось
лениться:  лениться
функцийв:  функцийв
каштан:  каштаны
размерность:  размерность
чертить:  чертить
три:  трёх
дискретнойслучайный:  дискретнойслучайной
визуальный:  визуальную
останавливаться:  останавливаться
прекрасно:  прекрасно
соответствие:  соответствии
крамер:  крамера
правда:  правда
строго:  строго
повторимый:  повторим
запретить:  запрещено
функциидвуха:  функциидвух
емелин:  емелин
мёртвый:  мёртвые
вычисленияопределенный:  вычисленияопределенных
конечный:  конечная
задачин:  задачина
замечательный:  замечательные
системый:  системыи
удовлетворяетлить:  удовлетворяетли
ужесточаться:  ужесточается
лицо:  лица
тригонометрический:  тригонометрических
участок:  участке
аналитически:  аналитически
заданав:  заданав
масштабировать:  масштабировать
что:  чём
всё:  всё
клетчатый:  клетчатой
претендовать:  претендует
изобразить:  изобразим
тройной:  тройные
деление:  деления
выполнить:  выполнено
контуруформула:  контуруформула
энциклопедичность:  энциклопедичность
ка:  ка
участиться:  участились
либо:  либо
рекомендовать:  рекомендую
примерно:  примерно
независимый:  независимые
привести:  привести
фигурный:  фигурные
способ:  способ
корреляция:  корреляции
прежде:  прежде
убиваться:  убиваться
продолжить:  продолжить
реалистичный:  реалистичные
заочник:  заочников
повторять:  повторяем
миниатюра:  миниатюра
