придать:  придать
удовлетворять:  удовлетворяли удовлетворяют
эра:  эр
нюанс:  нюанс
среднееквадратический:  среднееквадратическое
хороший:  хороши хорошие
комбинационный:  комбинационная
ребячество:  ребячество
повторять:  повторяйте повторяем
стать:  станут станет
листок:  листок
смешанноепроизведение:  смешанноепроизведение
функция:  функции функция функций
очередной:  очередной
дисперсия:  дисперсия дисперсии дисперсию
школьный:  школьный школьных школьные
мы:  нам
нехитрый:  нехитрые
образ:  образом
непрерывнаяслучайный:  непрерывнаяслучайная
мнимый:  мнимых мнимый
длина:  длина длину длине длин
посмотреть:  посмотреть
поправка:  поправками
знакопостоянство:  знакопостоянства
поместить:  поместите
фигура:  фигуру фигуры
родный:  родной
градиент:  градиент
посетить:  посетить
логарифм:  логарифмов
линия:  линия линией линии линию линиями линий
вспомнить:  вспомним
внимание:  внимания внимание
наш:  наших нашем нашему наше наш
ясно:  ясно
комбинаторика:  комбинаторике
полуось:  полуосью полуосей полуось полуоси полуосями
случайнаявеличина:  случайнаявеличина
свой:  своего свои
бесконечно:  бесконечно
резиновый:  резиновые
прежний:  прежними
форма:  формы форма
равный:  равны равен равная равна
задача:  задачу задачи задач задачах задача
гвоздика:  гвоздиками
фраза:  фразу
обратный:  обратную обратная обратное
дополнительный:  дополнительные дополнительными дополнительная дополнительных
готовый:  готовых
просто:  просто
приём:  приём
ещё:  ещё
вернуться:  вернёмся вернётесь
представитель:  представителями
убедиться:  убедимся
приложение:  приложения
поспорить:  поспорить
преподаватель:  преподавателю
эксцентриситет:  эксцентриситетом эксцентриситета эксцентриситет
торчать:  торчащим
сунуть:  сунем
частый:  чаще
специальный:  специального
читатель:  читателей
подобный:  подобных подобное
данный:  данного данном данный
грамотно:  грамотно
непрерывный:  непрерывных непрерывная
рефлекторно:  рефлекторно
неканонический:  неканоническая
производныефункция:  производныефункции
средний:  средняя
пересечение:  пересечения
единица:  единице единица
обязать:  обязан
расстояние:  расстояний расстояние расстояния
область:  области область
путь:  пути
обычный:  обычной
математик:  математика
переменный:  переменных переменной переменные
пример:  пример примеров примере примеры
подразумеваться:  подразумеваться
несовместный:  несовместные
независимыеслучайный:  независимыеслучайные
добавить:  добавить добавим
нравиться:  нравится
вверх:  вверх
розетка:  розетку
синус:  синусов
считать:  считаем считанные
следовательно:  следовательно
модель:  модель модели
непрерывность:  непрерывность
содержать:  содержит содержат
программа:  программы
функциис:  функциис
полный:  полной полные полных полный полное
зеркало:  зеркало
второй:  втором второго второй
значит:  значит
пирсон:  пирсона
вопрос:  вопрос вопросы
геометрический:  геометрических геометрический геометрическая геометрическое
межгрупповой:  межгрупповая
ортогональный:  ортогональное
похожий:  похож
удобный:  удобен удобный
нсв:  нсв
вроде:  вроде
тесно:  тесно
бытие:  бытия
быстро:  быстро
термин:  терминов термин
упасть:  упал
ход:  ходе
один:  одно одной одному одни
вычерчивание:  вычерчивания
отрезка:  отрезке отрезкам
красный:  красный
величина:  величина величин величины
одновременно:  одновременно
крайний:  крайней
экшен:  экшена
порой:  порой
приведение:  приведение приведения
запись:  запись
карандаш:  карандашом карандашу карандаша карандаш
предвестник:  предвестник
вести:  вести
интегрировать:  интегрируем
положительный:  положительные
детерминация:  детерминации
тот:  тех той
кривая:  кривая кривой
выполнить:  выполнить выполнив выполнил
решаться:  решается
выясниться:  выяснится
дифференциальныеуравнение:  дифференциальныеуравнения
настукать:  настукаем
столкнуться:  столкнуться
постоянный:  постоянных постоянным постоянная
стокс:  стокса
схема:  схема схеме
размер:  размеры
предполагать:  предполагает
соотношение:  соотношения
дробовик:  дробовик
получить:  получен полученных получи
пытливый:  пытливые
математика:  математике математики математику
векторный:  векторное векторного
разнообразный:  разнообразная
овал:  овалов овал овала
вероятностия:  вероятностии
называть:  называемых называют
скалярный:  скалярное
следующий:  следующее следующих следующий
значимость:  значимости
неизбежно:  неизбежно
мысленно:  мысленно
предельный:  предельный
вершина:  вершины вершину вершинами вершинам
анализ:  анализа анализ
построение:  построения построение построению
её:  её
частный:  частное частные частный
парный:  парной
несколько:  несколько
найти:  найдём найти
сборник:  сборники
зафиксировать:  зафиксируем
параметрический:  параметрическом параметрической
версия:  версия
допустить:  допущена
делать:  делаем делать
часто:  часто
преимущество:  преимуществ
мигрировать:  мигрировали
получаться:  получается
музей:  музея
находить:  находим
решение:  решение решением решения решений
место:  место
форум:  форум форуме
алгебраический:  алгебраической алгебраическая алгебраический алгебраическими
записывать:  записывать
типичный:  типичными
книга:  книги книга
приспособление:  приспособления
маскарад:  маскараде
провести:  провести
эллипс:  эллипса эллипсу эллипс эллипсов
нечасто:  нечасто
задание:  задание заданий
вектор:  векторы векторов вектор
встретиться:  встретиться встретилось
вращение:  вращения
действительный:  действительной действительное действительные
сообразить:  сообразишь
принять:  принято примет
именно:  именно
копирование:  копирование
использовать:  используют используйте
обходиться:  обходится
разрыв:  разрыва
выражение:  выражения
парабола:  параболы парабола парабол
необходимость:  необходимости
отблагодарить:  отблагодарить
являться:  являются является
пареный:  пареной
углублённый:  углублённо
байес:  байеса
простой:  проще простейшем простой
решать:  решать
точность:  точности
теория:  теория теории
дополнительно:  дополнительно
двумерный:  двумерная
друг:  друг другу
задать:  заданной заданную задайте задан заданный
тело:  тела
циркуляция:  циркуляция
расчёт:  расчёты
плоскость:  плоскости плоскость
отношение:  отношение отношении
циркуль:  циркулем циркуля циркуль
направлять:  направляющий
оставить:  оставить
поздний:  позже
стандартный:  стандартном стандартный
определителяй:  определителяи
первоначальный:  первоначальный
выделить:  выделить выделим
согласно:  согласно
закон:  законы
воспоминание:  воспоминания
качество:  качестве
впечатление:  впечатление
действие:  действий действия действие
вероятность:  вероятностей вероятность вероятности
нарисовать:  нарисовал
ладный:  ладно
любой:  любое любой любая любую
уравненийв:  уравненийв
иметь:  имеют имеющий имеет
отрезок:  отрезок отрезка отрезков отрезки
грин:  грина
эйлер:  эйлера
компания:  компанию компания
каждый:  каждого каждой каждая
остальной:  остальные остальных
дискретный:  дискретный
знакочередоваться:  знакочередующиеся
масштаб:  масштаб
известный:  известному известен
предложить:  предложено
практически:  практически
произвольный:  произвольных произвольные
сложный:  сложной сложные сложных
строгий:  строгому
нитка:  нитку
фурье:  фурье
поле:  поля
гипотеза:  гипотез гипотеза гипотезы
свойство:  свойства
момент:  момент моментах
исходный:  исходной исходную
исследование:  исследование
плоский:  плоской
мир:  мира
вариация:  вариации
основа:  основы
переходить:  переходим
интервал:  интервалы
сдать:  сдать
привязать:  привяжите
кош:  коши
такой:  таком таким такие такое
чайник:  чайников чайникам
вычисленияс:  вычисленияс
корректный:  корректным
правый:  правую
матричный:  матричные матричных матричный
заметить:  заметили заметьте заметить
объект:  объект
перенести:  перенести перенесен
однородный:  однородные однородным
вычислить:  вычислить
очень:  очень
матрица:  матрицу матрицы матрицами
испытанияй:  испытанияи
интегралыть:  интегралыв
научиться:  научимся научиться
перегруппировка:  перегруппировка
зависеть:  зависят зависит
помощь:  помощью
декартов:  декартовых
навстречу:  навстречу
понять:  поняли
начало:  начало начала началом начале
вариационный:  вариационный
идти:  шло идём
перенос:  перенос переноса
блог:  блог
отметить:  отметим
высокий:  высших высшей высшая высоких высшую
школа:  школы школа
возникнуть:  возникнет
изобрести:  изобрело
единственный:  единственной
пространство:  пространстве
удалить:  удалена
курс:  курс курсе
координата:  координаты координат координатах
ордината:  ординат
лист:  лист листу
модифицировать:  модифицировав модифицировать
сообщить:  сообщите
аналитический:  аналитическая аналитической
понижение:  понижение понижением
определить:  определить
тонкий:  тонкую
дорожка:  дорожку
список:  списка
центр:  центр центру центром центра
нахождение:  нахождение
приколотить:  приколотите
преобразование:  преобразованиях преобразования преобразований
считаться:  считается
изобразить:  изобразить изобразил изобразим
элипёс:  элипса
положение:  положения положению
напряжение:  напряжения
проверка:  проверку проверка
природа:  природе
линейнойкорреляционный:  линейнойкорреляционной
синий:  синяя синий
нести:  несёт
оставаться:  остаётся оставаться
просматриваться:  просматривается
пора:  пор
неизменный:  неизменным
почему:  почему
распределениякритерия:  распределениякритерий
вахтер:  вахтёр
отлично:  отлично
несобственный:  несобственные
человек:  людям люди
поворот:  повороте поворот поворота
процесс:  процесс
полностью:  полностью
касательная:  касательная
ответ:  ответ ответы
задачис:  задачис
воссоединиться:  воссоединились
разный:  разных
разобраться:  разобраться разберёмся
правило:  правила правило
функциия:  функциии
возможно:  возможно
степенной:  степенного степенные
функцийдвуха:  функцийдвух
выборка:  выборке
желать:  желаете
проработка:  проработки
функцийнесколький:  функцийнескольких
градус:  градусов
учебник:  учебнику
квадрат:  квадрат квадраты квадратов
множественнойлинейный:  множественнойлинейной
рассматривать:  рассматриваемого
тема:  темы
подходящий:  подходящих
распределение:  распределение распределения
задавать:  задаёт задаваемые
совпасть:  совпали совпавших
задачипо:  задачипо
востребовать:  востребованную
приблизить:  приближенные
знакомый:  знакомым знакома
загадка:  загадка
вариант:  вариант
выталкивать:  выталкивать
врач:  врачу
примечание:  примечание
выкладка:  выкладки
зависимый:  зависимые
прочее:  прочего
путём:  путём
профиль:  профилю
значительный:  значительная
отклонение:  отклонение
ум:  умы
таблица:  таблицы
произведение:  произведение
вполне:  вполне
случайный:  случайных случайные
предварительно:  предварительно
экспозиция:  экспозиции
материал:  материала материалов материалы
численно:  численно
дуга:  дуги дугу дугах
частность:  частности
перебрать:  перебрать
отрезкать:  отрезкав
дивергенция:  дивергенция
сайт:  сайт сайты сайта
графика:  графики графика
простить:  простят
целый:  целых целые
клетчатый:  клетчатый
александров:  александрова
причина:  причине причина
расположить:  расположены расположенного
возрастание:  возрастание
эмпирический:  эмпирические
третий:  третьего
найтись:  нашлось
этот:  этих
знать:  зная
вряд:  вряд
потребоваться:  потребуется
обратиться:  обратитесь
иррациональный:  иррациональных
квадратичнуюформ:  квадратичнуюформу
карта:  карта
вычисление:  вычисления вычисление вычислениях
быть:  будут
равно:  равно
начертить:  начертить
они:  ними
логика:  логики
спирмена:  спирмена
человечество:  человечество
возникать:  возникает
шляпка:  шляпкам
вооружиться:  вооружиться
св:  св
самый:  самый самое
эрудит:  эрудиты
девять:  девяти девять
сумма:  суммы сумму сумма
потребность:  потребностями
секунда:  секунды
продолговатый:  продолговат
пара:  пара пару
отличный:  отличную
достаточно:  достаточно
показательный:  показательное
моментально:  моментально
диффура:  диффурами
соответствующий:  соответствующие
узнать:  узнать
перейти:  перейдём перейти
множество:  множество множества
интересовать:  интересует
представлять:  представляет представляют
статистика:  статистика
сохранять:  сохраняя
бэ:  бэ
сдвиг:  сдвиги
биномиальный:  биномиальное
нижний:  нижнюю нижней
статуя:  статуй
линиюв:  линиюв
самостоятельный:  самостоятельного
короткий:  короткого
доступный:  доступный
дифференцировать:  дифференцируем
отработка:  отработки
ватман:  ватман
решить:  решить
дуприближённо:  дуприближённо
говорящий:  говорящей
подход:  подхода подход
асимптота:  асимптоты
событие:  события
повторный:  повторные
порядок:  порядок порядка порядков
загроможденность:  загроможденности
состоять:  состоит состоящий
боковой:  боковым
фнп:  фнп
простейшее:  простейшие
иной:  иными иной
конец:  конце
упрощённый:  упрощенная
часть:  частям часть части
двойной:  двойные двойной
несобство:  несобств
о:  обо
бумага:  бумаги
нелинейный:  нелинейная
три:  трём трёх
преобразованиеквадратичный:  преобразованиеквадратичной
напрашиваться:  напрашивается
говорильня:  говорильни
распадаться:  распадается
функциональный:  функциональные функционального
прочертить:  прочертить
бодрый:  бодрому
рациональный:  рациональнее рациональные
статья:  статья
абсолютный:  абсолютная
жизненный:  жизненном
встречаться:  встречаются встречается
разъезжаться:  разъезжаться
сложенияй:  сложенияи
регрессия:  регрессии регрессия
взять:  возьмите взяли взять
исчисление:  исчисления
академический:  академический
степень:  степеней степенях степени
гораздо:  гораздо
локальный:  локальная
настоятельно:  настоятельно
ожидание:  ожидание
лаплас:  лапласа
перегиб:  перегиба
сходимость:  сходимости сходимость
представить:  представьте представить
зайти:  зайдёт
повернуть:  повернув повёрнут повернуть повёрнутый повернём
координатный:  координатных координатной координатные
ду:  ду
нанизать:  нанизанную
далее:  далее
коэффициент:  коэффициент коэффициенты
неопределённый:  неопределенный неопределенном
умолчание:  умолчанию
начаться:  началась
дробь:  дробей
конкретный:  конкретные
собственный:  собственные
признак:  признак признаки
недостаток:  недостаток
поэтому:  поэтому
практика:  практике
разумеется:  разумеется
пункт:  пункте
безусловно:  безусловно
максимальный:  максимальное максимальному
пересекаться:  пересекающихся
асимметрия:  асимметрия
упоминание:  упоминания
комплект:  комплект
рука:  руках
скажем:  скажем
главный:  главную
сводиться:  сводящиеся
замена:  замены
алгоритм:  алгоритма
характер:  характер
записать:  запишем
маленький:  меньше поменьше
результат:  результате
например:  например
разобрать:  разобран
решенияопределённый:  решенияопределенных
вызвать:  вызвать
выглядеть:  выглядит
действительность:  действительности
хотя:  хотя
классификация:  классификация классификации
выражать:  выражаем
коэффициентковариация:  коэффициентковариации
уделяться:  уделяется
стресс:  стресса
складно:  складно
абсцисса:  абсциссами абсцисс
теорема:  теореме теоремы теорем
приводить:  приводить приводим
лопиталя:  лопиталя
крайне:  крайне
обычно:  обычно
справляться:  справляются
необходимый:  необходим
существенный:  существенной существенный
поляформула:  поляформула
наверное:  наверное
фехнера:  фехнера
входящий:  входящих
эффективный:  эффективные
условный:  условные
цель:  целью целях
поговорить:  поговорим
развеять:  развеем
предпочесть:  предпочту
поворачивать:  поворачивать
даламбер:  даламбера
повторнойя:  повторнойи
располагаться:  располагаться
естественно:  естественно
комплексный:  комплексные комплексного комплексный комплексными
ранг:  ранг
другой:  другое другие
тяжестиплоска:  тяжестиплоской
относительно:  относительно
уменьшить:  уменьшить
понятный:  понятнее
носить:  носит
общепринятый:  общепринятый
построить:  построить
суровый:  суровой
лейбниц:  лейбница
двойка:  двойкой
неравенство:  неравенства
поток:  поток
подробный:  подробный
ехать:  едем
расклад:  расклады
медиана:  медиана
рассмотрение:  рассмотрение
отдохнуть:  отдохнуть
бывать:  бывает
обличие:  обличье
направлениюй:  направлениюи
мышь:  мыши
гостевой:  гостевая
переписать:  перепишем
кроме:  кроме
аккуратно:  аккуратно
привести:  приведём приведённом привести
геометрия:  геометрию геометрии геометрия
понятно:  понятно
вывод:  вывод
внутригрупповаяй:  внутригрупповаяи
алгебра:  алгебры
живописный:  живописную
наоборот:  наоборот
существовать:  существует
изучать:  изучающим изучать
прямоугольник:  прямоугольников
получиться:  получиться
эксцессэмпирический:  эксцессэмпирического
стол:  столу столе
оценка:  оценка оценки
палец:  пальцы
криволинейный:  криволинейные
различный:  различных
сеанс:  сеанс
приближаться:  приближаясь
библиотека:  библиотека
трудность:  трудностей
черчение:  черчения
наименьшеезначение:  наименьшеезначения
ребёнок:  ребёнок
сила:  силы
послать:  пошли
вычислимый:  вычислим
любовь:  любви
терзать:  терзает
осуществимый:  осуществим
системылинейный:  системылинейных
нужно:  нужно
канонически:  канонически
ностальгический:  ностальгические
жертва:  жертвами
зависимость:  зависимость
талант:  талантом
прийтись:  придется
информация:  информация
замкнутый:  замкнутому
должный:  должен
очевидный:  очевидно
цэ:  цэ
актуальный:  актуальными
показатель:  показатели
отличие:  отличие
свет:  свете
сильно:  сильно
площадьс:  площадьс
большинство:  большинстве
убыванией:  убываниеи
повышенный:  повышенной
статистический:  статистическая статистические
также:  также
интегрирование:  интегрирование интегрировании
легко:  легко
пока:  пока
нуль:  нулю
интервальный:  интервальный
соответственно:  соответственно
принадлежать:  принадлежит
лично:  лично
оценкия:  оценкии
неявный:  неявной
нить:  нить
несобственныхинтеграл:  несобственныхинтегралов
вероятностибиномиальный:  вероятностибиномиального
доказательство:  доказательства
род:  рода
справочный:  справочный
гаусс:  гаусса
начинать:  начинайте
лежать:  лежит
скользкий:  скользкую
экстремальный:  экстремальные
завернуть:  завернуть
остаться:  остались останется
учёт:  учётом
студент:  студентов
нормаль:  нормали
определитель:  определитель
противоположный:  противоположный
выпуклость:  выпуклость
верхний:  верхней верхнюю
элемент:  элементы
линейка:  линейки линейку
сформулировать:  сформулирую
менее:  менее
основательный:  основательной
принципиально:  принципиально
сложность:  сложности
значенияй:  значенияи
многочлен:  многочлен
первый:  первого
этаж:  этажах этаже
кстати:  кстати
натянутый:  натянутой
классическоеопределение:  классическоеопределение
инормаль:  инормаль
освежать:  освежая
акцентировать:  акцентирую
мистика:  мистику
далёкий:  дальше
пирамида:  пирамида
находиться:  находятся находится
автор:  автор автора
оказаться:  окажется
дифференциальный:  дифференциальные
уравненияс:  уравненияс
онлайн:  онлайн
работа:  работа
затруднение:  затруднений
произвольныйтройный:  произвольныйтройной
дизайн:  дизайна
это:  это
галерея:  галерею
поляй:  поляи
опечатка:  опечатку
продолжать:  продолжаем продолжайте
речь:  речь
выбор:  выбора
методомоперационный:  методомоперационного
бесповторный:  бесповторной
л:  л
водить:  водят
график:  графиков график
элебс:  элебса
касательный:  касательных
большой:  большой большое
краткий:  краткая
типовыхзадача:  типовыхзадач
преобразоваться:  преобразуется
воспользоваться:  воспользоваться
ранговойкорреляция:  ранговойкорреляции
цвет:  цвет
строиться:  строится
встать:  встать
творческий:  творческое
подопытный:  подопытный
исследовательский:  исследовательских
смоделировать:  смоделируем
исследовать:  исследовать
набросок:  набросок
поверхность:  поверхности
составить:  составить
оттянуть:  оттяните
избыточный:  избыточна
отсутствовать:  отсутствуют
линейныйкоэффициент:  линейныйкоэффициент
косинус:  косинусов
несобственныйинтеграл:  несобственныйинтеграл
принадлежащий:  принадлежащая
доступно:  доступно
эллибз:  эллибз
заключаться:  заключается
причём:  причём
повториться:  повторюсь
учиться:  учимся
дальнейший:  дальнейшего
ипример:  ипримеры
добывать:  добывать
требоваться:  требуется требовалось
поверхностный:  поверхностные
формулировка:  формулировку
пуассон:  пуассона
матановский:  матановскому
однако:  однако
приводиться:  приводится
таки:  таки
потихоньку:  потихоньку
математическоеожидание:  математическоеожидание
дать:  данной
нестандартный:  нестандартном
успешно:  успешно
симметричный:  симметричен симметричные
соединимый:  соединим
близкий:  ближе
неоднородный:  неоднородные
средство:  средствами
картон:  картона
оформить:  оформить
разгрузка:  разгрузки
гвоздь:  гвоздей
последующий:  последующие
думать:  думаю
кратное:  кратные
готовить:  готовить
системудифференциальный:  системудифференциальных
попадаться:  попадается
последовательность:  последовательностей
типовой:  типовая
квадратичный:  квадратичные
объём:  объем
стремиться:  стремится
проверить:  проверить
усвоение:  усвоения
привязывать:  привязывать
поскольку:  поскольку
гипергеометрическоераспределение:  гипергеометрическоераспределение
удаться:  удастся
приятно:  приятно
понятие:  понятие
подробно:  подробно
равномерный:  равномерная равномерное
иначе:  иначе
треугольный:  треугольная
знакомство:  знакомстве
пожалуйста:  пожалуйста
принимать:  принимать принимает
следовать:  следует
себя:  собой
экскурсия:  экскурсия
сразу:  сразу
функциюкомплексный:  функциюкомплексной
приближать:  приближать
приглашать:  приглашаю
мода:  мода
свойстваэлементарный:  свойстваэлементарных
распространить:  распространённую
калькулятор:  калькулятор калькуляторе
выбираться:  выбирается
определённый:  определенный определенного
реальность:  реальности
действительно:  действительно
эквивалентный:  эквивалентным
быстренько:  быстренько
экстремум:  экстремумы
горнера:  горнера
хоровод:  хороводы
функцийв:  функцийв
видеть:  видите
обывательский:  обывательском
возведение:  возведение
красиво:  красиво
пользователь:  пользователей
лёгкость:  лёгкости
понимать:  понимать
дискретнойслучайный:  дискретнойслучайной
сложиться:  сложиться
соответствие:  соответствии
репа:  репы
крамер:  крамера
левый:  левую
правда:  правда
путаница:  путаницы
прожить:  прожить
строго:  строго
запретить:  запрещено
к:  ко
функциидвуха:  функциидвух
черновик:  черновике
емелин:  емелин
вычисленияопределенный:  вычисленияопределенных
сосиска:  сосиску
зелёный:  зелёную зелёные зелёным
задачин:  задачина
замечательный:  замечательные
системый:  системыи
удовлетворяетлить:  удовлетворяетли
вещь:  вещи
сегодня:  сегодня
четверть:  четвертью
тригонометрический:  тригонометрических
переехать:  переехал
развернуть:  развёрнутую
заданав:  заданав
всё:  всё
лекция:  лекции
тройной:  тройные
деление:  деления
контуруформула:  контуруформула
сплющиваться:  сплющиваться
дело:  деле
эм:  эм
нажим:  нажим
какой:  какую
транспортир:  транспортир
либо:  либо
элементарно:  элементарно
рекомендовать:  рекомендую
примерно:  примерно
независимый:  независимые
бомонд:  бомонда
изучение:  изучения
весь:  всей
способ:  способ
корреляция:  корреляции
продолжить:  продолжить
условие:  условию
заочник:  заочников
аффинный:  аффинной
говорить:  говоря
ждать:  ждёт
равенство:  равенства
