изучение:  изучением изучения
вразумительный:  вразумительнее
точный:  точным точное
перегруппировка:  перегруппировка
каждый:  каждое каждому каждый
помощь:  помощью
продажа:  продаж
страшненький:  страшненькой
исключение:  исключением
блог:  блог
вывод:  выводу вывод
каноничный:  каноничная
пространство:  пространстве
совокупность:  совокупности совокупность
путь:  путь
курс:  курс курсе
координата:  координаты координат координатах
помогать:  помогают
сообщить:  сообщите
главный:  главном главную
аналитический:  аналитическая аналитической
понижение:  понижение понижением
определить:  определить
центр:  центр центра
нахождение:  нахождение
локальный:  локальные локальная
скобка:  скобку
сторона:  сторону
построение:  построение
вспоминать:  вспоминаем
линейнойкорреляционный:  линейнойкорреляционной
действие:  действия
время:  время времени
особо:  особо
крайний:  крайних крайний
почему:  почему
распределениякритерия:  распределениякритерий
выгода:  выгоды
несобственный:  несобственные
затруднить:  затруднена
станок:  станка
откуда:  откуда
вариант:  варианты вариант варианту варианта
занять:  займут
занятие:  занятия занятие
касательная:  касательная
ответ:  ответ ответы
задачис:  задачис
правило:  правила правило
медианный:  медианный медианное медианного медианным
функциия:  функциии
степенной:  степенного степенные
функцийдвуха:  функцийдвух
использование:  использовании использования использование
функцийнесколький:  функцийнескольких
рассчитать:  рассчитать
понять:  понять
близкий:  близки
множественнойлинейный:  множественнойлинейной
потребоваться:  потребуются
тема:  темы
распределение:  распределение распределения
город:  города
максимальный:  максимальной
условный:  условном условные
икс:  икса
задачипо:  задачипо
пополам:  пополам
нравиться:  нравятся
востребовать:  востребованную
искажённый:  искажённая
цена:  цены цена цен
видно:  видно
образец:  образец
зависимый:  зависимые
произведение:  произведение произведений
красивый:  красивый
вполне:  вполне
случайный:  случайных случайные
дуга:  дуги
частность:  частности
отрезкать:  отрезкав
дивергенция:  дивергенция
квалификационный:  квалификационные квалификационный
укрупнять:  укрупняем
сайт:  сайт сайты сайта
графика:  графики графика
ситуация:  ситуации ситуация
причина:  причине
возрастание:  возрастание возрастанию
эмпирический:  эмпирические
этот:  этих эта
характерный:  характерно
статический:  статические
исследуться:  исследуется
абсцисса:  абсцисса
иррациональный:  иррациональных
отличный:  отличный отличны
определение:  определению определение определения
квадратичнуюформ:  квадратичнуюформу
карта:  карта
вычисление:  вычисления вычисление
гипербола:  гипербола
цветочек:  цветочками
равно:  равно
они:  ними
закономерный:  закономерный
логика:  логики
спирмена:  спирмена
вид:  виду виды виде
оказаться:  оказалось оказаться оказались
возникать:  возникает
ход:  ход
вычислительный:  вычислительный
рабочий:  рабочими рабочих рабочие
св:  св
второй:  второго второй вторая
персонал:  персонал
достаточно:  достаточно
показательный:  показательное
преобразование:  преобразования преобразований
петровский:  петровского
особый:  особой особые
диффура:  диффурами
соответствующий:  соответствующие
перейти:  перейдём
весьма:  весьма
использовать:  используем использовали используйте
биномиальный:  биномиальное
записаться:  запишется
линиюв:  линиюв
упороть:  упоротых
самостоятельный:  самостоятельного
отношение:  отношении
таковой:  таковых
любительски:  любительски
смысл:  смысл
решить:  решить
дуприближённо:  дуприближённо
академичный:  академичен
асимптота:  асимптоты
событие:  события
невозможный:  невозможна
повторный:  повторные
различный:  различны различных
состоять:  состоит
фнп:  фнп
выделять:  выделяем
забитый:  забиты
простейшее:  простейшие
эксель:  эксель
двойной:  двойные двойной
компактный:  компактнее компактном
несобство:  несобств
о:  обо
известный:  известны
нелинейный:  нелинейная
преобразованиеквадратичный:  преобразованиеквадратичной
граница:  граница
функциональный:  функциональные
участок:  участок
среднестатистический:  среднестатистический
геометрический:  геометрическая геометрическое
абсолютный:  абсолютная
встречаться:  встречаются
получать:  получая
сложенияй:  сложенияи
сказать:  сказано скажешь
регрессия:  регрессии регрессия
расстояние:  расстояние
исчисление:  исчисления
подобный:  подобной
подходить:  подходит
гораздо:  гораздо
популярный:  популярная
ожидание:  ожидание
лаплас:  лапласа
такой:  таким такое такая таких такими
перегиб:  перегиба
сходимость:  сходимости сходимость
представить:  представьте
перцентиль:  перцентили перцентилей
ду:  ду
далее:  далее
формальный:  формальный
коэффициент:  коэффициент
неопределённый:  неопределенный неопределенном
приходить:  приходим
дробь:  дробей
магазин:  магазинах магазин
собственный:  собственные
близлежащий:  близлежащие
признак:  признак признаки
рядом:  рядом
поэтому:  поэтому
разделить:  разделить разделило
мышка:  мышкой
генеральный:  генеральной генеральную генеральная
асимметрия:  асимметрия асимметрии
скажем:  скажем
сверху:  сверху
сводиться:  сводящиеся
замена:  замены
записать:  запишем записать
встреча:  встрече
например:  например
удваивать:  удваиваем
решенияопределённый:  решенияопределенных
одинаковый:  одинаковой одинаковые одинаковых
массив:  массиву
коэффициентковариация:  коэффициентковариации
штука:  штук
завод:  завода
практика:  практику
экселевскома:  экселевском
лопиталя:  лопиталя
называться:  называется
крайне:  крайне
мода:  моду модой моды мода мод
обычно:  обычно
нужный:  нужна нужной
ставить:  ставим
поляформула:  поляформула
фехнера:  фехнера
эффективный:  эффективные эффективным
обозначать:  обозначаем
прикладной:  прикладных
эллипс:  эллипс
занудничать:  занудничать
чертёж:  чертёж
хватать:  хватает
приближение:  приближение
даламбер:  даламбера
теорема:  теоремы
повторнойя:  повторнойи
денежный:  денежных
ровно:  ровно
рассказать:  рассказал
комплексный:  комплексные комплексного комплексный комплексными
ранг:  ранг
кривая:  кривой
тяжестиплоска:  тяжестиплоской
нудно:  нудно
относительно:  относительно
проверка:  проверка
касаться:  касается
построить:  построить
внимание:  внимание
повторить:  повторить
лейбниц:  лейбница
отсчитывать:  отсчитывать
лениться:  ленимся
неравенство:  неравенства
палец:  пальцами
поток:  поток
палата:  палате
додумывать:  додумывать
предыдущий:  предыдущего предыдущий
бывать:  бывает
направлениюй:  направлениюи
гостевой:  гостевая
левый:  левый левого
кроме:  кроме
страшный:  страшной
геометрия:  геометрию геометрии геометрия
понятно:  понятно
жать:  жмём
внутригрупповаяй:  внутригрупповаяи
алгебра:  алгебры
сумма:  сумму сумма
наоборот:  наоборот
прямоугольник:  прямоугольников
эксцессэмпирический:  эксцессэмпирического
говорить:  говорит
пускаться:  пускается
оценка:  оценка оценки
криволинейный:  криволинейные
библиотека:  библиотека
определяться:  определяется
изготовление:  изготовления изготовление
возможность:  возможности возможность
наименьшеезначение:  наименьшеезначения
сила:  силы
вычислимый:  вычислим
переваливать:  переваливает
запросто:  запросто
модный:  модная
изложить:  изложенная
системылинейный:  системылинейных
нужно:  нужно
зависимость:  зависимость
эф:  эф
пять:  пять
замкнутый:  замкнутому
площадьс:  площадьс
ранее:  ранее
убыванией:  убываниеи
повышенный:  повышенной
также:  также
интегрирование:  интегрирование
легко:  легко
фабрика:  фабрику
рациональный:  рациональные
прийти:  прийти
вводить:  вводим
видный:  видна
универмаг:  универмаге
провести:  проведена
закрывать:  закрываем
полигон:  полигону полигоне
итак:  итак
рука:  руку
вообще:  вообще
перевалить:  перевалила
нанять:  наняли
цивилизовать:  цивилизованную
лично:  лично
оценкия:  оценкии
неявный:  неявной
несобственныхинтеграл:  несобственныхинтегралов
вероятностибиномиальный:  вероятностибиномиального
род:  рода
гаусс:  гаусса
точно:  точно
кучковаться:  кучкуются
экстремальный:  экстремальные
номер:  номер
специализированный:  специализированных
депеша:  депеш
нормаль:  нормали
определитель:  определитель
успеть:  успели успело
существовать:  существуют
выпуклость:  выпуклость
редкий:  редкие
элемент:  элементы
сформулировать:  сформулирую
менее:  менее
директор:  директора
сложность:  сложности
встретиться:  встретился
значенияй:  значенияи
кстати:  кстати
труд:  труда
классическоеопределение:  классическоеопределение
инормаль:  инормаль
тетрадь:  тетради
занятный:  занятнее
пирамида:  пирамида
находиться:  находятся находится
автор:  автор автора
делимый:  делим
отходить:  отходя
счёт:  счёт
дифференциальный:  дифференциальные
уравненияс:  уравненияс
подсчёт:  подсчёты
онлайн:  онлайн
работа:  работа
широкий:  широкое
расхождение:  расхождение
новый:  новому
произвольныйтройный:  произвольныйтройной
ниже:  ниже
дизайн:  дизайна
это:  это
основание:  основании
современный:  современном
увеличиться:  увеличится
помнить:  помним
поляй:  поляи
место:  местах
опечатка:  опечатку
продолжать:  продолжаем
речь:  речь
данный:  данном
методомоперационный:  методомоперационного
бесповторный:  бесповторной
любой:  любую
убывание:  убыванию
ошибка:  ошибку
л:  л
важно:  важно
снизу:  снизу
ед:  ед
касательный:  касательных
продолжить:  продолжим
краткий:  краткая краткое
типовыхзадача:  типовыхзадач
содержание:  содержание
один:  одной
воспользоваться:  воспользоваться
ранговойкорреляция:  ранговойкорреляции
пройти:  пройденных пройдена
оставлять:  оставляю
отыскать:  отыскать
характеризоваться:  характеризуется
ден:  ден
исследовать:  исследовать
поверхность:  поверхности
углядеть:  углядят
линейныйкоэффициент:  линейныйкоэффициент
иной:  иную
несобственныйинтеграл:  несобственныйинтеграл
доступно:  доступно
истинный:  истинное
понятие:  понятия
причём:  причём
логично:  логично
учиться:  учимся
задавать:  задаваемые
ипример:  ипримеры
зоркий:  зоркие
множество:  множества
найти:  найти
требоваться:  требуется
живой:  живой
поверхностный:  поверхностные
порядок:  порядку порядка порядков
фигура:  фигуры
пуассон:  пуассона
несмотря:  несмотря
забивать:  забиваем
математическоеожидание:  математическоеожидание
школа:  школа
неоднородный:  неоднородные
обратить:  обратим
кратное:  кратные
треугольник:  треугольнике
системудифференциальный:  системудифференциальных
изначально:  изначально
абзац:  абзацев
алгоритм:  алгоритм
последовательность:  последовательностей
ранжировать:  ранжированного
квадратичный:  квадратичные
проверить:  проверить
утверждать:  утверждать
поскольку:  поскольку
гипергеометрическоераспределение:  гипергеометрическоераспределение
раз:  раза
поступить:  поступить
содержательный:  содержательном
равномерный:  равномерная равномерное
треугольный:  треугольная
картина:  картина
подстрочный:  подстрочного
зарплата:  зарплата
пожалуйста:  пожалуйста
мина:  мин
план:  плане
следовать:  следует
квадрат:  квадратов
экран:  экране
функциюкомплексный:  функциюкомплексной
непригодный:  непригодна
напоминать:  напоминаю напоминать
занимательный:  занимательной
ивр:  ивр
свойстваэлементарный:  свойстваэлементарных
стандартный:  стандартной
научиться:  научиться
сам:  самой
отуплять:  отупляют
определённый:  определенный определенного
тренировка:  тренировки
предлагать:  предлагаю
действительно:  действительно
экстремум:  экстремумы
горнера:  горнера
упомянуть:  упомянутый
применять:  применяем
функцийв:  функцийв
ознакомиться:  ознакомиться
должный:  должна
среди:  среди
лёгкий:  легче
три:  трёх
большой:  большому
единица:  единиц
дискретнойслучайный:  дискретнойслучайной
карл:  карл
знак:  знак
сносить:  сносим
дробить:  дробят
крамер:  крамера
необработанный:  необработанные
руководящий:  руководящий
олигарх:  олигарха
парабола:  парабола
установить:  установлены
обработка:  обработка
рассмотреть:  рассмотренных
функциидвуха:  функциидвух
запретить:  запрещено
черновик:  черновике
емелин:  емелин
вычисленияопределенный:  вычисленияопределенных
задачин:  задачина
замечательный:  замечательные
отдельность:  отдельности
системый:  системыи
удовлетворяетлить:  удовлетворяетли
заполнить:  заполним
зелёный:  зелёные
тригонометрический:  тригонометрических
аналитически:  аналитически
мыший:  мышью
шляпа:  шляпы
заданав:  заданав
что:  чём
всё:  всё
значительный:  значительное
тройной:  тройные
деление:  деления
являться:  является
автоматически:  автоматически
контуруформула:  контуруформула
график:  график
просуммировать:  просуммировать
либо:  либо
свободный:  свободную
рекомендовать:  рекомендую
примерно:  примерно
независимый:  независимые
температура:  температура
неудовлетворительно:  неудовлетворительно
дело:  дело
разобрать:  разберу
обозначение:  обозначения
край:  краям
группа:  группы
корреляция:  корреляции
тот:  ту
получиться:  получилась
заочник:  заочников
файл:  файле
разный:  разные
повторять:  повторяем
