перебор:  перебора
стокс:  стокса
схема:  схема
синий:  синим синий
частично:  частично
дробовик:  дробовик
математика:  математике математики
векторный:  векторное векторного
сам:  самом
вероятностия:  вероятностии
скалярный:  скалярное
избавляться:  избавляться
совершенно:  совершенно
попасть:  попало
значимость:  значимости
сеть:  сеть
анализ:  анализа анализ
частный:  частное частные
парный:  парной
найти:  найдём найдены найдена найти
сборник:  сборники
параметрический:  параметрическом параметрической
делать:  делаем
часто:  часто
никак:  никак
табличка:  табличку табличкой
получаться:  получается
слабый:  слабой
находить:  находим
вытянуть:  вытянул вытянет
решение:  решение решением решения решений
место:  место
форум:  форум форуме
актуальный:  актуальна
книга:  книги книга
достоверно:  достоверно
дополнительный:  дополнительное
проанализировать:  проанализируем
реальный:  реальное
задание:  задание
вектор:  векторы векторов
надобность:  надобности
кубик:  кубике кубик кубиков кубика кубики
вращение:  вращения
гипотетически:  гипотетически
именно:  именно
вероятно:  вероятно
копирование:  копирование
давать:  давайте давал
использовать:  используют использовали использовал используя использовать используйте
изучить:  изучил
разрыв:  разрыва
один:  одного одна одной
выражение:  выражения
название:  название
отблагодарить:  отблагодарить
являться:  являются является
сильный:  сильнее
байес:  байеса
решать:  решать
таблица:  таблицу таблицы
выигрыш:  выигрыша выигрышей
точность:  точности
оценить:  оценить
результат:  результат результате результаты
теория:  теория теории
свериться:  свериться
нулевой:  нулевым
изменение:  изменение
двумерный:  двумерная двумерной двумерную
задать:  заданной задайте задана заданному
тело:  тела
циркуляция:  циркуляция
северный:  северные
слева:  слева
плоскость:  плоскости плоскость
общий:  общим общая общем
приличный:  приличные
изучение:  изучение
определителяй:  определителяи
дробь:  дроби дробей
первый:  первым первому первом первого первый
качество:  качестве
впечатление:  впечатление
последовательно:  последовательно
пункт:  пункт пункте
вероятность:  вероятностей вероятность вероятности вероятностями
одновременный:  одновременное
уравненийв:  уравненийв
переписать:  переписать
грин:  грина
эйлер:  эйлера
взаимосвязь:  взаимосвязь
направо:  направо
символизировать:  символизирует
четырёхэтажный:  четырёхэтажных
остальной:  остальные
дискретный:  дискретный дискретных дискретными
знакочередоваться:  знакочередующиеся
вводиться:  вводятся
игровой:  игровых игрового игровые
рост:  росту роста ростом рост
произвольный:  произвольных
сложный:  сложной сложные сложных
фурье:  фурье
поле:  поля
гипотеза:  гипотез гипотеза гипотезы
свойство:  свойства свойство
момент:  момент
исходный:  исходной исходную исходные
исследование:  исследование
весь:  всем
точка:  точки точке
вариация:  вариации вариацию
основа:  основы
переходить:  переходим
интервал:  интервалы
кош:  коши
выше:  выше
составлять:  составляет
горячий:  горячей
соответствующий:  соответствующих соответствующие соответствующего
чайник:  чайников
вычисленияс:  вычисленияс
правый:  правую
матричный:  матричные матричных матричный
заметить:  заметили
однородный:  однородные однородным
существенный:  существенное существенной
вычислить:  вычислить вычислены вычислю
функциональный:  функциональной функциональные функциональная
очень:  очень
матрица:  матрицу матрицы матрицами
испытанияй:  испытанияи
интегралыть:  интегралыв
привыкнуть:  привык
перегруппировка:  перегруппировка
корреляция:  корреляция корреляции
помощь:  помощью
вариационный:  вариационный
взглянуть:  взгляните
блог:  блог
высокий:  высших высшей высшая
произведение:  произведения произведение
пространство:  пространстве
удобный:  удобный удобнее удобное
курс:  курс курсе
координата:  координаты координат координатах
вычислять:  вычисляем
обнулить:  обнулить
сообщить:  сообщите
сделать:  сделать
компонент:  компоненты
аналитический:  аналитическая аналитической
понижение:  понижение понижением
знать:  знаю знаете знает
центр:  центр
сложиться:  сложилось
страшный:  страшная страшные
помнить:  помнят
одноимённый:  одноимённые
считаться:  считается
быстрый:  быстрее
сторона:  сторону стороне
затем:  затем
преимущественно:  преимущественно
построение:  построение
линейнойкорреляционный:  линейнойкорреляционной
действие:  действия
время:  время
сила:  силу силы
почему:  почему
распределениякритерия:  распределениякритерий
встретиться:  встретились
ожидание:  ожидания ожидание ожиданий
несобственный:  несобственные
кость:  кость
откуда:  откуда
полностью:  полностью
свой:  своей своим
касательная:  касательная
задачис:  задачис
разобраться:  разобраться разберёмся
правило:  правила правил правило
функциия:  функциии
степенной:  степенного степенные
функцийдвуха:  функцийдвух
выборка:  выборке
приберечь:  приберегу
функцийнесколький:  функцийнескольких
рассчитать:  рассчитать
отскочить:  отскочить
понять:  понять
человек:  человека людей люди
множественнойлинейный:  множественнойлинейной
зависимость:  зависимости зависимость
выиграть:  выиграет
выпасть:  выпавших
распределение:  распределение распределения распределений
квадратный:  квадратных
возможный:  возможные
задачипо:  задачипо
независимый:  независимых независимыми независимы независимые
востребовать:  востребованную
совместный:  совместной совместную
убедительный:  убедительным
приблизить:  приближенные приблизит
совпасть:  совпасть
примечание:  примечание
корреляционный:  корреляционный
конкретный:  конкретное
вполне:  вполне
кто:  кому
измениться:  изменились
жёсткий:  жёсткой
дуга:  дуги
частность:  частности
отрезкать:  отрезкав
дивергенция:  дивергенция
возникнуть:  возник
сайт:  сайт сайты сайта
наш:  наш нашу нашей
графика:  графики графика
расположиться:  расположился
ситуация:  ситуации ситуация
возрастание:  возрастание
эмпирический:  эмпирические
который:  который которая которых которой
увеличение:  увеличении
найтись:  нашлось
этот:  этих эта
аналогично:  аналогично
характерный:  характерно
очевидность:  очевидность
иррациональный:  иррациональных
определение:  определению определение определения
квадратичнуюформ:  квадратичнуюформу
карта:  карта карту карте карт картами
маленький:  маленький меньше
вычисление:  вычисления вычисление
гипербола:  гипербола
равно:  равно
они:  ними
обозначение:  обозначение
логика:  логики
материал:  материалов материалы
спирмена:  спирмена
суммировать:  суммируем
вид:  виду виды виде
близко:  близко
исследовательский:  исследовательского
св:  св
иметь:  имеет имеем
достаточно:  достаточно
показательный:  показательное
червовый:  червовой червовую
преобразование:  преобразования преобразований
диффура:  диффурами
условный:  условное условные условный условными условных
закономерный:  закономерных
мера:  меры мера
статистика:  статистика статистики
биномиальный:  биномиальное
записаться:  запишется
нижний:  нижнюю
линиюв:  линиюв
самостоятельный:  самостоятельного
выбрать:  выбрав выбранного
отношение:  отношении
хотеться:  хочется
безразмерный:  безразмерное безразмерен
иксовый:  иксовая иксовым
смысл:  смысл
установить:  установлено установить
дуприближённо:  дуприближённо
товарищ:  товарища
асимптота:  асимптоты
предполагать:  предполагаем
событие:  события событий
приближение:  приближения приближение
мм:  мм
повторный:  повторные
порядок:  порядок порядке порядка порядков
фнп:  фнп
простейшее:  простейшие
часть:  частям
двойной:  двойные двойной
несобство:  несобств
известный:  известны
нелинейный:  нелинейная
применить:  применить
брать:  берём
преобразованиеквадратичный:  преобразованиеквадратичной
испытание:  испытания
идеальный:  идеальных
геометрический:  геометрическая геометрическое
абсолютный:  абсолютная
сложенияй:  сложенияи
сбрасываться:  сбрасывается сбрасываются
регрессия:  регрессии регрессия
контроль:  контроль
поместить:  поместить
исчисление:  исчисления
выразить:  выражена
чистовик:  чистовике
локальный:  локальная
начинать:  начиная
лаплас:  лапласа
такой:  таким такие такое такая таких такими
перегиб:  перегиба
предыдущий:  предыдущем предыдущего предыдущий
сходимость:  сходимости сходимость
тот:  те той ту
ду:  ду
извлёкать:  извлёкает
носить:  носить
коэффициент:  коэффициент коэффициенты
неопределённый:  неопределенный неопределенном
собственный:  собственные
признак:  признак признаки
технический:  техническое
поэтому:  поэтому
разделить:  разделить
практика:  практике
разумеется:  разумеется
принцип:  принципе
исследовать:  исследуем исследовать
дама:  дамы
коль:  коль
асимметрия:  асимметрия
главный:  главную
сверху:  сверху
представимый:  представим
сводиться:  сводящиеся
замена:  замены
характер:  характер
одиночный:  одиночной
показывать:  показывает
ковариация:  ковариация ковариацию ковариации
составить:  составим составить
например:  например
решенияопределённый:  решенияопределенных
вверху:  вверху
готовиться:  готовимся
коэффициентковариация:  коэффициентковариации
теорема:  теореме теорему теоремы
делить:  делить
прогнозирование:  прогнозирование
лопиталя:  лопиталя
поляформула:  поляформула
наверное:  наверное
игральный:  игральных
фехнера:  фехнера
обоснованный:  обоснованный
эффективный:  эффективные
независимо:  независимо
четвёртый:  четвёртое
эллипс:  эллипс
количество:  количество
даламбер:  даламбера
факт:  факт
повторнойя:  повторнойи
комплексный:  комплексные комплексного комплексный комплексными
нормировать:  нормированный
ранг:  ранг
кривая:  кривой
тяжестиплоска:  тяжестиплоской
зеркальный:  зеркальным
проверка:  проверка
построить:  построить
произойти:  произошёл
морально:  морально
лейбниц:  лейбница
ростовый:  ростовой
ради:  ради
неравенство:  неравенства
искомый:  искомый
поток:  поток
медиана:  медиана
направлениюй:  направлениюи
приближать:  приближает
гостевой:  гостевая
скоро:  скоро
объединить:  объединены
понятно:  понятно
вывод:  вывод
главное:  главное
внутригрупповаяй:  внутригрупповаяи
зависеть:  зависит
алгебра:  алгебры
сумма:  сумму сумма
наоборот:  наоборот
существовать:  существует существуют
прямоугольник:  прямоугольников
эксцессэмпирический:  эксцессэмпирического
черва:  червы черву
говорить:  говорит говорят говоря
оценка:  оценка оценки
криволинейный:  криволинейные
библиотека:  библиотека
определяться:  определяется
наименьшеезначение:  наименьшеезначения
вычислимый:  вычислим
южный:  южные
системылинейный:  системылинейных
нужно:  нужно
категория:  категории
замкнутый:  замкнутому
очевидный:  очевидно
терять:  теряет
показатель:  показатели
сбрасывание:  сбрасывание
отличие:  отличие
площадьс:  площадьс
варьироваться:  варьируется
большинство:  большинстве
демонстрационный:  демонстрационного
убыванией:  убываниеи
повышенный:  повышенной
статистический:  статистическая статистические
также:  также
интегрирование:  интегрирование
легко:  легко
рациональный:  рациональные
нуль:  нулю
некоторый:  некоторых некоторое
интервальный:  интервальный
нехватка:  нехваткой
соответственно:  соответственно
вообще:  вообще
простой:  простой простую
оценкия:  оценкии
неявный:  неявной
несобственныхинтеграл:  несобственныхинтегралов
вероятностибиномиальный:  вероятностибиномиального
большой:  побольше большой
род:  рода
гаусс:  гаусса
полезно:  полезно
точно:  точно
экстремальный:  экстремальные
группа:  группе группы
нормаль:  нормали
определитель:  определитель
желать:  желающие
выпуклость:  выпуклость
элемент:  элементы
полюс:  полюса полюсами
менее:  менее
сложность:  сложности
значенияй:  значенияи
справедливо:  справедливо
нужный:  нужной
кстати:  кстати
зал:  зала
классическоеопределение:  классическоеопределение
инормаль:  инормаль
занятный:  занятнее
пирамида:  пирамида
находиться:  находятся
автор:  автор автора
делимый:  делим
дифференциальный:  дифференциальные
уравненияс:  уравненияс
онлайн:  онлайн
геометрия:  геометрии геометрия
работа:  работа
новый:  новому
произвольныйтройный:  произвольныйтройной
ниже:  ниже
дизайн:  дизайна
это:  это
увеличиться:  увеличится увеличатся
поляй:  поляи
опечатка:  опечатку
продолжать:  продолжаем
технически:  технически
образец:  образцом
методомоперационный:  методомоперационного
бесповторный:  бесповторной
ошибка:  ошибку
л:  л
важно:  важно
снизу:  снизу
внизу:  внизу
касательный:  касательных
громоздкий:  громоздкими
типовыхзадача:  типовыхзадач
ранговойкорреляция:  ранговойкорреляции
творческий:  творческое
искомое:  искомое
подсказывать:  подсказывает
тесный:  теснее
нетрудно:  нетрудно
поверхность:  поверхности
линейныйкоэффициент:  линейныйкоэффициент
несобственныйинтеграл:  несобственныйинтеграл
доступно:  доступно
понятие:  понятия
причём:  причём
учиться:  учимся
задавать:  задаваемые
характеризовать:  характеризующее
ипример:  ипримеры
множество:  множества
требоваться:  требуется требовалось
искать:  ищите
поверхностный:  поверхностные
дать:  данные
фигура:  фигуры
пуассон:  пуассона
однако:  однако
таки:  таки
несмотря:  несмотря
формальный:  формальное
единый:  единую
математическоеожидание:  математическоеожидание
школа:  школа
теснота:  тесноту тесноты
неоднородный:  неоднородные
король:  короли
кратное:  кратные
снизиться:  снизятся
системудифференциальный:  системудифференциальных
помимо:  помимо
последовательность:  последовательностей
интересный:  интересных
расписать:  расписать
объём:  объем
проверить:  проверить
измерение:  измерение
поскольку:  поскольку
гипергеометрическоераспределение:  гипергеометрическоераспределение
верхний:  верхнюю
подробно:  подробно
равномерный:  равномерная равномерное
треугольный:  треугольная
большемерный:  большемерные
пожалуйста:  пожалуйста
принимать:  принимать принимает
следовать:  следует
чудо:  чудеса
извлекать:  извлекают
квадрат:  квадратов
сразу:  сразу
функциюкомплексный:  функциюкомплексной
напоминать:  напоминаю
притянуться:  притянуться
стандартный:  стандартным стандартные
мода:  мода
свойстваэлементарный:  свойстваэлементарных
калькулятор:  калькулятор
научиться:  научиться
меняться:  меняются
оба:  оба
хороший:  наилучшего наилучшим
перечислить:  перечислю
равный:  равна
рассматривать:  рассматриваю
определённый:  определенный определенного
экстремум:  экстремумы
горнера:  горнера
отмечаться:  отмечалось
получать:  получаем
функцийв:  функцийв
размерность:  размерность
очко:  очков
три:  трёх
ответ:  ответы
дискретнойслучайный:  дискретнойслучайной
будущее:  будущее
знак:  знак
каждый:  каждую
проигнорировать:  проигнорировать
встретить:  встретить
масть:  масти
крамер:  крамера
парабола:  парабола
запретить:  запрещено
функциидвуха:  функциидвух
стохастический:  стохастическая
рисунок:  рисунке
емелин:  емелин
оформлять:  оформлять
вычисленияопределенный:  вычисленияопределенных
независимость:  независимости
нежели:  нежели
задачин:  задачина
замечательный:  замечательные
удовлетворяетлить:  удовлетворяетли
системый:  системыи
всякий:  всякий
тригонометрический:  тригонометрических
аналитически:  аналитически
фигурировать:  фигурировали
заданав:  заданав
всё:  всё
тройной:  тройные
промежуток:  промежутка
деление:  деления
бросок:  броска
автоматически:  автоматически
контуруформула:  контуруформула
график:  график
наугад:  наугад
скопировать:  скопирую
просуммировать:  просуммировать
либо:  либо
примерно:  примерно
привести:  привести
дело:  дело
продолжить:  продолжить
заочник:  заочников
выделить:  выделил
повторять:  повторяем
